group,Armatus,Arrowhead,CaTCH,CHAC,CHDF,ClusterTAD,deDoc,DI,EAST,GMAP,HiCExplorer,HiCseg,IC-Finder,InsulationScore,Matryoshka,MrTADFinder,MSTD,OnTAD,Spectral,SpectralTAD,TADBD,TADbit,TADtree,TopDom
CTCF,0.145,0.04,0.02,0.022,0.172,0.017,0.086,0.056,0.095,0.03,0.061,0.03,0.078,0.019,0.14,0.232,0.037,0.06,0.066,0.08,0.087,0.045,0.194,0.08
H3K36me3,0.055,0.015,0.01,0.009,0.068,0.008,0.036,0.027,0.039,0.012,0.026,0.014,0.035,0.008,0.057,0.082,0.013,0.027,0.025,0.032,0.036,0.022,0.086,0.035
H3K4me3,0.057,0.016,0.01,0.01,0.071,0.009,0.038,0.028,0.042,0.013,0.027,0.015,0.036,0.009,0.059,0.092,0.015,0.028,0.027,0.034,0.038,0.022,0.09,0.036
H3K9me3,0.104,0.024,0.012,0.013,0.121,0.011,0.055,0.035,0.063,0.019,0.037,0.018,0.049,0.012,0.095,0.188,0.022,0.037,0.049,0.052,0.055,0.028,0.137,0.049
Housekeeping_genes,0.122,0.087,0.063,0.065,0.13,0.06,0.133,0.141,0.131,0.075,0.128,0.095,0.138,0.054,0.141,0.107,0.076,0.131,0.079,0.121,0.133,0.118,0.166,0.141
PolII,0.081,0.016,0.008,0.009,0.092,0.007,0.037,0.023,0.043,0.013,0.024,0.012,0.033,0.008,0.074,0.145,0.015,0.024,0.033,0.036,0.038,0.018,0.098,0.033
RAD21,0.175,0.059,0.03,0.034,0.212,0.026,0.124,0.085,0.131,0.043,0.093,0.046,0.114,0.028,0.177,0.251,0.054,0.09,0.085,0.115,0.122,0.068,0.244,0.118
SINE,0.012,0.002,0.001,0.001,0.014,0.001,0.005,0.003,0.006,0.002,0.003,0.002,0.005,0.001,0.011,0.025,0.002,0.003,0.005,0.005,0.005,0.002,0.015,0.005
SMC3,0.172,0.061,0.031,0.036,0.211,0.027,0.128,0.088,0.134,0.045,0.097,0.047,0.118,0.028,0.176,0.244,0.055,0.094,0.085,0.117,0.125,0.07,0.246,0.123
TSS,0.087,0.022,0.014,0.013,0.101,0.012,0.051,0.036,0.057,0.018,0.036,0.019,0.047,0.012,0.085,0.14,0.021,0.037,0.038,0.047,0.051,0.029,0.121,0.048
