caller	freq	value
ClusterTAD	1	27
ClusterTAD	1	453
ClusterTAD	1	75
ClusterTAD	1	22
ClusterTAD	1	17
ClusterTAD	2	30
ClusterTAD	2	30
ClusterTAD	2	11
ClusterTAD	2	11
ClusterTAD	1	37
ClusterTAD	1	69
ClusterTAD	1	4
ClusterTAD	1	14
ClusterTAD	1	19
ClusterTAD	1	28
ClusterTAD	1	83
ClusterTAD	1	22
ClusterTAD	1	74
ClusterTAD	1	44
ClusterTAD	1	68
ClusterTAD	1	174
ClusterTAD	1	103
ClusterTAD	1	9
ClusterTAD	2	18
ClusterTAD	2	18
ClusterTAD	1	19
ClusterTAD	1	64
ClusterTAD	1	44
ClusterTAD	1	75
ClusterTAD	2	23
ClusterTAD	2	23
ClusterTAD	1	62
ClusterTAD	1	17
ClusterTAD	1	9
ClusterTAD	2	170
ClusterTAD	2	170
ClusterTAD	1	11
ClusterTAD	1	16
ClusterTAD	1	84
ClusterTAD	3	7
ClusterTAD	3	7
ClusterTAD	3	7
ClusterTAD	1	6
ClusterTAD	1	44
ClusterTAD	1	27
ClusterTAD	1	14
ClusterTAD	1	27
ClusterTAD	1	22
ClusterTAD	1	20
ClusterTAD	1	37
ClusterTAD	1	7
ClusterTAD	1	69
ClusterTAD	2	7
ClusterTAD	2	7
ClusterTAD	1	52
ClusterTAD	2	13
ClusterTAD	2	13
ClusterTAD	2	53
ClusterTAD	2	53
ClusterTAD	1	91
ClusterTAD	1	75
ClusterTAD	2	35
ClusterTAD	2	35
ClusterTAD	1	44
ClusterTAD	5	26
ClusterTAD	5	26
ClusterTAD	5	26
ClusterTAD	5	26
ClusterTAD	5	26
ClusterTAD	1	76
ClusterTAD	1	37
ClusterTAD	1	25
ClusterTAD	1	78
ClusterTAD	1	34
ClusterTAD	1	9
ClusterTAD	1	87
ClusterTAD	1	43
ClusterTAD	1	180
ClusterTAD	1	147
ClusterTAD	1	108
ClusterTAD	1	38
ClusterTAD	2	16
ClusterTAD	2	16
ClusterTAD	1	23
ClusterTAD	1	43
ClusterTAD	1	27
ClusterTAD	1	44
ClusterTAD	1	109
ClusterTAD	1	11
ClusterTAD	1	9
ClusterTAD	1	26
ClusterTAD	1	91
ClusterTAD	1	35
ClusterTAD	1	59
ClusterTAD	1	83
ClusterTAD	1	38
ClusterTAD	1	84
ClusterTAD	1	42
ClusterTAD	1	7
ClusterTAD	1	67
ClusterTAD	2	18
ClusterTAD	2	18
ClusterTAD	1	141
ClusterTAD	1	25
ClusterTAD	2	14
ClusterTAD	2	14
ClusterTAD	1	77
ClusterTAD	1	31
ClusterTAD	1	78
ClusterTAD	2	98
ClusterTAD	2	98
ClusterTAD	1	21
ClusterTAD	1	59
ClusterTAD	1	131
ClusterTAD	1	48
ClusterTAD	1	48
ClusterTAD	1	38
ClusterTAD	1	76
ClusterTAD	1	83
ClusterTAD	1	47
ClusterTAD	1	38
ClusterTAD	2	13
ClusterTAD	2	13
ClusterTAD	1	70
ClusterTAD	2	113
ClusterTAD	2	113
ClusterTAD	1	34
ClusterTAD	1	59
ClusterTAD	1	10
ClusterTAD	1	37
ClusterTAD	1	104
ClusterTAD	7	35
ClusterTAD	7	35
ClusterTAD	7	35
ClusterTAD	7	35
ClusterTAD	7	35
ClusterTAD	7	35
ClusterTAD	7	35
ClusterTAD	1	45
ClusterTAD	2	34
ClusterTAD	2	34
ClusterTAD	1	53
ClusterTAD	1	23
ClusterTAD	1	11
ClusterTAD	1	36
ClusterTAD	1	32
ClusterTAD	1	33
ClusterTAD	1	49
ClusterTAD	1	33
ClusterTAD	1	47
ClusterTAD	1	66
ClusterTAD	1	45
ClusterTAD	1	62
ClusterTAD	1	63
ClusterTAD	1	26
ClusterTAD	1	17
ClusterTAD	1	112
ClusterTAD	1	35
ClusterTAD	1	437
ClusterTAD	1	79
ClusterTAD	1	39
ClusterTAD	1	67
ClusterTAD	4	21
ClusterTAD	4	21
ClusterTAD	4	21
ClusterTAD	4	21
ClusterTAD	1	25
ClusterTAD	1	47
ClusterTAD	1	5
ClusterTAD	1	100
ClusterTAD	2	23
ClusterTAD	2	23
ClusterTAD	1	21
ClusterTAD	2	9
ClusterTAD	2	9
ClusterTAD	1	71
ClusterTAD	2	16
ClusterTAD	2	16
ClusterTAD	1	150
ClusterTAD	1	23
ClusterTAD	1	9
ClusterTAD	1	87
ClusterTAD	1	115
ClusterTAD	2	9
ClusterTAD	2	9
ClusterTAD	1	20
ClusterTAD	1	44
ClusterTAD	1	71
ClusterTAD	1	16
ClusterTAD	1	36
ClusterTAD	1	39
ClusterTAD	1	28
ClusterTAD	1	60
ClusterTAD	1	104
ClusterTAD	2	36
ClusterTAD	2	36
ClusterTAD	1	96
ClusterTAD	1	28
ClusterTAD	1	20
ClusterTAD	1	27
ClusterTAD	1	33
ClusterTAD	1	77
ClusterTAD	1	41
ClusterTAD	1	26
ClusterTAD	1	85
ClusterTAD	3	22
ClusterTAD	3	22
ClusterTAD	3	22
ClusterTAD	1	6
ClusterTAD	1	105
ClusterTAD	8	6
ClusterTAD	8	6
ClusterTAD	8	6
ClusterTAD	8	6
ClusterTAD	8	6
ClusterTAD	8	6
ClusterTAD	8	6
ClusterTAD	8	6
ClusterTAD	1	72
