caller	freq	value
EAST	2	11
EAST	2	11
EAST	2	5
EAST	2	5
EAST	7	5
EAST	7	5
EAST	7	5
EAST	7	5
EAST	7	5
EAST	7	5
EAST	7	5
EAST	1	8
EAST	1	37
EAST	6	11
EAST	6	11
EAST	6	11
EAST	6	11
EAST	6	11
EAST	6	11
EAST	2	9
EAST	2	9
EAST	2	7
EAST	2	7
EAST	3	21
EAST	3	21
EAST	3	21
EAST	1	41
EAST	1	25
EAST	1	2
EAST	3	5
EAST	3	5
EAST	3	5
EAST	2	11
EAST	2	11
EAST	2	13
EAST	2	13
EAST	8	11
EAST	8	11
EAST	8	11
EAST	8	11
EAST	8	11
EAST	8	11
EAST	8	11
EAST	8	11
EAST	1	12
EAST	2	15
EAST	2	15
EAST	3	18
EAST	3	18
EAST	3	18
EAST	1	14
EAST	1	35
EAST	6	8
EAST	6	8
EAST	6	8
EAST	6	8
EAST	6	8
EAST	6	8
EAST	1	11
EAST	3	4
EAST	3	4
EAST	3	4
EAST	6	24
EAST	6	24
EAST	6	24
EAST	6	24
EAST	6	24
EAST	6	24
EAST	1	7
EAST	8	10
EAST	8	10
EAST	8	10
EAST	8	10
EAST	8	10
EAST	8	10
EAST	8	10
EAST	8	10
EAST	1	9
EAST	1	7
EAST	1	11
EAST	6	17
EAST	6	17
EAST	6	17
EAST	6	17
EAST	6	17
EAST	6	17
EAST	1	6
EAST	1	18
EAST	1	26
EAST	3	23
EAST	3	23
EAST	3	23
EAST	2	22
EAST	2	22
EAST	1	6
EAST	4	6
EAST	4	6
EAST	4	6
EAST	4	6
EAST	2	2
EAST	2	2
EAST	2	14
EAST	2	14
EAST	2	14
EAST	2	14
EAST	3	4
EAST	3	4
EAST	3	4
EAST	1	11
EAST	8	16
EAST	8	16
EAST	8	16
EAST	8	16
EAST	8	16
EAST	8	16
EAST	8	16
EAST	8	16
EAST	1	21
EAST	5	5
EAST	5	5
EAST	5	5
EAST	5	5
EAST	5	5
EAST	1	4
EAST	3	17
EAST	3	17
EAST	3	17
EAST	1	9
EAST	1	5
EAST	7	20
EAST	7	20
EAST	7	20
EAST	7	20
EAST	7	20
EAST	7	20
EAST	7	20
EAST	7	6
EAST	7	6
EAST	7	6
EAST	7	6
EAST	7	6
EAST	7	6
EAST	7	6
EAST	1	21
EAST	2	16
EAST	2	16
EAST	1	8
EAST	1	10
EAST	1	29
EAST	1	8
EAST	1	9
EAST	5	8
EAST	5	8
EAST	5	8
EAST	5	8
EAST	5	8
EAST	1	9
EAST	2	61
EAST	2	61
EAST	2	14
EAST	2	14
EAST	1	12
EAST	1	12
EAST	1	31
EAST	1	9
EAST	5	23
EAST	5	23
EAST	5	23
EAST	5	23
EAST	5	23
EAST	1	13
EAST	1	6
EAST	5	8
EAST	5	8
EAST	5	8
EAST	5	8
EAST	5	8
EAST	1	10
EAST	1	32
EAST	1	4
EAST	1	16
EAST	1	26
EAST	2	13
EAST	2	13
EAST	1	20
EAST	1	42
EAST	4	17
EAST	4	17
EAST	4	17
EAST	4	17
EAST	1	10
EAST	1	10
EAST	1	12
EAST	2	5
EAST	2	5
EAST	2	10
EAST	2	10
EAST	1	54
EAST	1	54
EAST	1	7
EAST	1	5
EAST	6	9
EAST	6	9
EAST	6	9
EAST	6	9
EAST	6	9
EAST	6	9
EAST	4	9
EAST	4	9
EAST	4	9
EAST	4	9
EAST	1	24
EAST	4	4
EAST	4	4
EAST	4	4
EAST	4	4
EAST	1	8
EAST	6	7
EAST	6	7
EAST	6	7
EAST	6	7
EAST	6	7
EAST	6	7
EAST	1	9
EAST	1	14
EAST	1	16
EAST	3	6
EAST	3	6
EAST	3	6
EAST	5	4
EAST	5	4
EAST	5	4
EAST	5	4
EAST	5	4
EAST	1	9
EAST	1	11
EAST	1	9
EAST	2	10
EAST	2	10
EAST	2	23
EAST	2	23
EAST	3	9
EAST	3	9
EAST	3	9
EAST	1	10
EAST	2	21
EAST	2	21
EAST	6	10
EAST	6	10
EAST	6	10
EAST	6	10
EAST	6	10
EAST	6	10
EAST	1	10
EAST	1	8
EAST	2	10
EAST	2	10
EAST	5	11
EAST	5	11
EAST	5	11
EAST	5	11
EAST	5	11
EAST	1	7
EAST	8	8
EAST	8	8
EAST	8	8
EAST	8	8
EAST	8	8
EAST	8	8
EAST	8	8
EAST	8	8
EAST	1	37
EAST	5	11
EAST	5	11
EAST	5	11
EAST	5	11
EAST	5	11
EAST	2	7
EAST	2	7
EAST	1	17
EAST	1	56
EAST	4	23
EAST	4	23
EAST	4	23
EAST	4	23
EAST	2	5
EAST	2	5
EAST	4	7
EAST	4	7
EAST	4	7
EAST	4	7
EAST	1	6
EAST	2	22
EAST	2	22
EAST	7	13
EAST	7	13
EAST	7	13
EAST	7	13
EAST	7	13
EAST	7	13
EAST	7	13
EAST	4	8
EAST	4	8
EAST	4	8
EAST	4	8
EAST	6	7
EAST	6	7
EAST	6	7
EAST	6	7
EAST	6	7
EAST	6	7
EAST	1	21
EAST	1	11
EAST	2	30
EAST	2	30
EAST	3	11
EAST	3	11
EAST	3	11
EAST	2	6
EAST	2	6
EAST	3	2
EAST	3	2
EAST	3	2
EAST	1	30
EAST	2	4
EAST	2	4
