caller	freq	value
InsulationScore	1	51
InsulationScore	1	7
InsulationScore	1	41
InsulationScore	2	62
InsulationScore	2	62
InsulationScore	1	28
InsulationScore	1	29
InsulationScore	2	83
InsulationScore	2	83
InsulationScore	3	20
InsulationScore	3	20
InsulationScore	3	20
InsulationScore	1	35
InsulationScore	4	48
InsulationScore	4	48
InsulationScore	4	48
InsulationScore	4	48
InsulationScore	4	27
InsulationScore	4	27
InsulationScore	4	27
InsulationScore	4	27
InsulationScore	2	42
InsulationScore	2	42
InsulationScore	1	30
InsulationScore	1	1
InsulationScore	1	1
InsulationScore	4	21
InsulationScore	4	21
InsulationScore	4	21
InsulationScore	4	21
InsulationScore	2	58
InsulationScore	2	58
InsulationScore	3	91
InsulationScore	3	91
InsulationScore	3	91
InsulationScore	1	37
InsulationScore	1	57
InsulationScore	3	34
InsulationScore	3	34
InsulationScore	3	34
InsulationScore	3	20
InsulationScore	3	20
InsulationScore	3	20
InsulationScore	2	87
InsulationScore	2	87
InsulationScore	4	25
InsulationScore	4	25
InsulationScore	4	25
InsulationScore	4	25
InsulationScore	2	46
InsulationScore	2	46
InsulationScore	1	44
InsulationScore	1	23
InsulationScore	4	59
InsulationScore	4	59
InsulationScore	4	59
InsulationScore	4	59
InsulationScore	2	71
InsulationScore	2	71
InsulationScore	4	51
InsulationScore	4	51
InsulationScore	4	51
InsulationScore	4	51
InsulationScore	1	16
InsulationScore	1	53
InsulationScore	1	2
InsulationScore	2	32
InsulationScore	2	32
InsulationScore	2	57
InsulationScore	2	57
InsulationScore	1	29
InsulationScore	1	74
InsulationScore	4	32
InsulationScore	4	32
InsulationScore	4	32
InsulationScore	4	32
InsulationScore	1	16
InsulationScore	1	56
InsulationScore	1	54
InsulationScore	1	39
InsulationScore	1	42
InsulationScore	1	33
InsulationScore	1	24
InsulationScore	1	74
InsulationScore	3	63
InsulationScore	3	63
InsulationScore	3	63
InsulationScore	1	21
InsulationScore	1	43
InsulationScore	1	16
InsulationScore	1	47
InsulationScore	1	33
InsulationScore	1	94
InsulationScore	1	65
InsulationScore	1	30
InsulationScore	1	1
InsulationScore	2	85
InsulationScore	2	85
InsulationScore	2	33
InsulationScore	2	33
InsulationScore	2	24
InsulationScore	2	24
InsulationScore	1	7
InsulationScore	2	19
InsulationScore	2	19
InsulationScore	5	12
InsulationScore	5	12
InsulationScore	5	12
InsulationScore	5	12
InsulationScore	5	12
InsulationScore	2	24
InsulationScore	2	24
InsulationScore	1	104
InsulationScore	1	57
InsulationScore	1	66
InsulationScore	1	34
InsulationScore	1	92
InsulationScore	1	26
InsulationScore	1	38
InsulationScore	1	11
InsulationScore	3	25
InsulationScore	3	25
InsulationScore	3	25
InsulationScore	1	56
InsulationScore	4	69
InsulationScore	4	69
InsulationScore	4	69
InsulationScore	4	69
InsulationScore	2	87
InsulationScore	2	87
InsulationScore	5	87
InsulationScore	5	87
InsulationScore	5	87
