caller	freq	value
Spectral	1	76
Spectral	1	8
Spectral	1	4
Spectral	2	3
Spectral	2	3
Spectral	2	2
Spectral	2	2
Spectral	1	35
Spectral	2	20
Spectral	2	20
Spectral	3	11
Spectral	3	11
Spectral	3	11
Spectral	1	3
Spectral	1	3
Spectral	3	1
Spectral	3	1
Spectral	3	1
Spectral	3	36
Spectral	3	36
Spectral	3	36
Spectral	2	1
Spectral	2	1
Spectral	1	9
Spectral	7	7
Spectral	7	7
Spectral	7	7
Spectral	7	7
Spectral	7	7
Spectral	7	7
Spectral	7	7
Spectral	3	1
Spectral	3	1
Spectral	3	1
Spectral	1	5
Spectral	1	62
Spectral	1	1
Spectral	1	1
Spectral	1	19
Spectral	4	4
Spectral	4	4
Spectral	4	4
Spectral	4	4
Spectral	1	2
Spectral	1	1
Spectral	1	8
Spectral	1	60
Spectral	1	1
Spectral	1	2
Spectral	1	10
Spectral	1	7
Spectral	1	5
Spectral	1	6
Spectral	1	1
Spectral	1	2
Spectral	1	5
Spectral	1	2
Spectral	1	36
Spectral	1	3
Spectral	1	1
Spectral	1	2
Spectral	1	14
Spectral	1	1
Spectral	1	22
Spectral	1	2
Spectral	1	5
Spectral	1	3
Spectral	1	21
Spectral	2	1
Spectral	2	1
Spectral	3	1
Spectral	3	1
Spectral	3	1
Spectral	3	4
Spectral	3	4
Spectral	3	4
Spectral	1	5
Spectral	1	3
Spectral	1	3
Spectral	1	7
Spectral	2	1
Spectral	2	1
Spectral	2	53
Spectral	2	53
Spectral	2	1
Spectral	2	1
Spectral	1	10
Spectral	5	1
Spectral	5	1
Spectral	5	1
Spectral	5	1
Spectral	5	1
Spectral	4	4
Spectral	4	4
Spectral	4	4
Spectral	4	4
Spectral	1	1
Spectral	2	1
Spectral	2	1
Spectral	1	21
Spectral	1	23
Spectral	1	4
Spectral	4	64
Spectral	4	64
Spectral	4	64
Spectral	4	64
Spectral	1	1
Spectral	1	24
Spectral	1	5
Spectral	3	3
Spectral	3	3
Spectral	3	3
Spectral	1	37
Spectral	5	1
Spectral	5	1
Spectral	5	1
Spectral	5	1
Spectral	5	1
Spectral	1	9
Spectral	2	2
Spectral	2	2
Spectral	1	7
Spectral	1	1
Spectral	1	33
Spectral	2	4
Spectral	2	4
Spectral	1	11
Spectral	1	2
Spectral	1	5
Spectral	1	27
Spectral	3	12
Spectral	3	12
Spectral	3	12
Spectral	1	19
Spectral	1	1
Spectral	3	2
Spectral	3	2
Spectral	3	2
Spectral	2	49
Spectral	2	49
Spectral	1	3
Spectral	1	1
Spectral	4	1
Spectral	4	1
Spectral	4	1
Spectral	4	1
Spectral	2	1
Spectral	2	1
Spectral	1	2
Spectral	4	11
Spectral	4	11
Spectral	4	11
Spectral	4	11
Spectral	1	2
Spectral	1	4
Spectral	4	37
Spectral	4	37
Spectral	4	37
Spectral	4	37
Spectral	1	1
Spectral	1	7
Spectral	4	3
Spectral	4	3
Spectral	4	3
Spectral	4	3
Spectral	1	12
Spectral	4	1
Spectral	4	1
Spectral	4	1
Spectral	4	1
Spectral	2	1
Spectral	2	1
Spectral	1	43
Spectral	1	53
Spectral	1	25
Spectral	1	5
Spectral	1	5
Spectral	1	20
Spectral	1	57
Spectral	2	31
Spectral	2	31
Spectral	1	1
Spectral	4	13
Spectral	4	13
Spectral	4	13
Spectral	4	13
Spectral	1	1
Spectral	1	1
Spectral	1	6
Spectral	1	2
Spectral	1	1
Spectral	2	22
Spectral	2	22
Spectral	1	53
Spectral	2	22
Spectral	2	22
Spectral	1	2
Spectral	2	1
Spectral	2	1
Spectral	1	2
Spectral	2	3
Spectral	2	3
Spectral	1	26
Spectral	1	2
Spectral	1	4
Spectral	1	5
Spectral	1	1
Spectral	1	2
Spectral	2	3
Spectral	2	3
Spectral	3	4
Spectral	3	4
Spectral	3	4
Spectral	1	6
Spectral	1	40
Spectral	1	16
Spectral	1	77
Spectral	4	6
Spectral	4	6
Spectral	4	6
Spectral	4	6
Spectral	1	14
Spectral	3	2
Spectral	3	2
Spectral	3	2
Spectral	1	1
Spectral	2	19
Spectral	2	19
Spectral	1	1
Spectral	1	3
Spectral	1	12
Spectral	2	1
Spectral	2	1
Spectral	1	21
Spectral	1	7
Spectral	1	13
Spectral	1	24
Spectral	1	2
Spectral	2	3
Spectral	2	3
Spectral	1	43
Spectral	2	3
Spectral	2	3
Spectral	2	2
Spectral	2	2
Spectral	1	1
Spectral	1	3
Spectral	1	8
Spectral	2	3
Spectral	2	3
Spectral	1	4
Spectral	1	2
Spectral	5	1
Spectral	5	1
Spectral	5	1
Spectral	5	1
Spectral	5	1
Spectral	2	2
Spectral	2	2
Spectral	2	2
Spectral	2	2
Spectral	1	22
Spectral	3	7
Spectral	3	7
Spectral	3	7
Spectral	1	1
Spectral	1	42
Spectral	1	4
Spectral	8	1
Spectral	8	1
Spectral	8	1
Spectral	8	1
Spectral	8	1
Spectral	8	1
Spectral	8	1
Spectral	8	1
Spectral	1	4
Spectral	1	7
Spectral	1	1
Spectral	1	1
Spectral	1	2
Spectral	1	41
Spectral	2	47
Spectral	2	47
Spectral	1	5
Spectral	1	42
Spectral	1	31
Spectral	1	6
Spectral	2	2
Spectral	2	2
Spectral	1	2
Spectral	1	17
Spectral	1	3
Spectral	4	5
Spectral	4	5
Spectral	4	5
Spectral	4	5
Spectral	1	39
Spectral	1	26
Spectral	8	8
Spectral	8	8
Spectral	8	8
Spectral	8	8
Spectral	8	8
Spectral	8	8
Spectral	8	8
Spectral	8	8
Spectral	1	5
Spectral	1	10
Spectral	2	1
Spectral	2	1
Spectral	1	1
Spectral	1	3
Spectral	2	1
Spectral	2	1
Spectral	1	22
Spectral	1	2
Spectral	2	4
Spectral	2	4
Spectral	2	3
Spectral	2	3
Spectral	1	1
Spectral	1	2
Spectral	1	63
Spectral	1	18
Spectral	2	1
Spectral	2	1
Spectral	2	10
Spectral	2	10
Spectral	1	2
Spectral	1	11
Spectral	1	3
Spectral	1	1
Spectral	1	32
Spectral	3	2
Spectral	3	2
Spectral	3	2
Spectral	1	29
Spectral	1	33
Spectral	1	3
Spectral	1	25
Spectral	1	1
Spectral	1	9
Spectral	1	4
Spectral	1	57
Spectral	1	2
Spectral	1	2
Spectral	1	85
Spectral	1	1
Spectral	1	4
Spectral	1	22
Spectral	1	1
Spectral	1	35
Spectral	1	15
Spectral	1	37
Spectral	1	2
Spectral	1	4
Spectral	1	1
Spectral	3	11
Spectral	3	11
Spectral	3	11
Spectral	1	2
Spectral	1	21
Spectral	1	21
Spectral	1	20
Spectral	1	23
Spectral	7	1
Spectral	7	1
Spectral	7	1
Spectral	7	1
Spectral	7	1
Spectral	7	1
Spectral	7	1
Spectral	1	1
Spectral	1	45
Spectral	1	20
Spectral	1	1
Spectral	1	58
Spectral	1	1
Spectral	2	38
Spectral	2	38
Spectral	1	2
Spectral	1	1
Spectral	4	5
Spectral	4	5
Spectral	4	5
Spectral	4	5
Spectral	1	6
Spectral	1	1
Spectral	1	1
Spectral	1	4
Spectral	1	2
Spectral	2	3
Spectral	2	3
Spectral	3	1
Spectral	3	1
Spectral	3	1
Spectral	1	1
Spectral	1	4
Spectral	1	4
Spectral	1	1
Spectral	1	41
