caller	freq	value
SpectralTAD	1	14
SpectralTAD	1	16
SpectralTAD	1	13
SpectralTAD	8	6
SpectralTAD	8	6
SpectralTAD	8	6
SpectralTAD	8	6
SpectralTAD	8	6
SpectralTAD	8	6
SpectralTAD	8	6
SpectralTAD	8	6
SpectralTAD	1	7
SpectralTAD	3	11
SpectralTAD	3	11
SpectralTAD	3	11
SpectralTAD	8	8
SpectralTAD	8	8
SpectralTAD	8	8
SpectralTAD	8	8
SpectralTAD	8	8
SpectralTAD	8	8
SpectralTAD	8	8
SpectralTAD	8	8
SpectralTAD	1	13
SpectralTAD	7	11
SpectralTAD	7	11
SpectralTAD	7	11
SpectralTAD	7	11
SpectralTAD	7	11
SpectralTAD	7	11
SpectralTAD	7	11
SpectralTAD	3	8
SpectralTAD	3	8
SpectralTAD	3	8
SpectralTAD	1	10
SpectralTAD	2	11
SpectralTAD	2	11
SpectralTAD	1	17
SpectralTAD	1	8
SpectralTAD	1	18
SpectralTAD	1	7
SpectralTAD	5	15
SpectralTAD	5	15
SpectralTAD	5	15
SpectralTAD	5	15
SpectralTAD	5	15
SpectralTAD	1	11
SpectralTAD	2	11
SpectralTAD	2	11
SpectralTAD	6	15
SpectralTAD	6	15
SpectralTAD	6	15
SpectralTAD	6	15
SpectralTAD	6	15
SpectralTAD	6	15
SpectralTAD	1	9
SpectralTAD	1	12
SpectralTAD	1	6
SpectralTAD	1	7
SpectralTAD	1	6
SpectralTAD	1	15
SpectralTAD	1	10
SpectralTAD	2	12
SpectralTAD	2	12
SpectralTAD	1	20
SpectralTAD	1	7
SpectralTAD	1	10
SpectralTAD	1	6
SpectralTAD	1	8
SpectralTAD	7	19
SpectralTAD	7	19
SpectralTAD	7	19
SpectralTAD	7	19
SpectralTAD	7	19
SpectralTAD	7	19
SpectralTAD	7	19
SpectralTAD	8	19
SpectralTAD	8	19
SpectralTAD	8	19
SpectralTAD	8	19
SpectralTAD	8	19
SpectralTAD	8	19
SpectralTAD	8	19
SpectralTAD	8	19
SpectralTAD	1	8
SpectralTAD	4	16
SpectralTAD	4	16
SpectralTAD	4	16
SpectralTAD	4	16
SpectralTAD	2	7
SpectralTAD	2	7
SpectralTAD	1	14
SpectralTAD	1	37
SpectralTAD	1	6
SpectralTAD	2	7
SpectralTAD	2	7
SpectralTAD	6	11
SpectralTAD	6	11
SpectralTAD	6	11
SpectralTAD	6	11
SpectralTAD	6	11
SpectralTAD	6	11
SpectralTAD	4	12
SpectralTAD	4	12
