caller	freq	value
TADBD	1	4
TADBD	1	9
TADBD	5	7
TADBD	5	7
TADBD	5	7
TADBD	5	7
TADBD	5	7
TADBD	1	20
TADBD	1	13
TADBD	2	59
TADBD	2	59
TADBD	2	8
TADBD	2	8
TADBD	7	8
TADBD	7	8
TADBD	7	8
TADBD	7	8
TADBD	7	8
TADBD	7	8
TADBD	7	8
TADBD	2	6
TADBD	2	6
TADBD	1	9
TADBD	8	7
TADBD	8	7
TADBD	8	7
TADBD	8	7
TADBD	8	7
TADBD	8	7
TADBD	8	7
TADBD	8	7
TADBD	2	7
TADBD	2	7
TADBD	1	7
TADBD	1	6
TADBD	1	9
TADBD	3	17
TADBD	3	17
TADBD	3	17
TADBD	1	17
TADBD	7	5
TADBD	7	5
TADBD	7	5
TADBD	7	5
TADBD	7	5
TADBD	7	5
TADBD	7	5
TADBD	2	5
TADBD	2	5
TADBD	3	15
TADBD	3	15
TADBD	3	15
TADBD	1	22
TADBD	2	23
TADBD	2	23
TADBD	7	13
TADBD	7	13
TADBD	7	13
TADBD	7	13
TADBD	7	13
TADBD	7	13
TADBD	7	13
TADBD	1	5
TADBD	4	4
TADBD	4	4
TADBD	4	4
TADBD	4	4
TADBD	3	10
TADBD	3	10
TADBD	3	10
TADBD	4	3
TADBD	4	3
TADBD	4	3
TADBD	4	3
TADBD	6	13
TADBD	6	13
TADBD	6	13
TADBD	6	13
TADBD	6	13
TADBD	6	13
TADBD	4	3
TADBD	4	3
TADBD	4	3
TADBD	4	3
TADBD	5	8
TADBD	5	8
TADBD	5	8
TADBD	5	8
TADBD	5	8
TADBD	1	4
TADBD	3	6
TADBD	3	6
TADBD	3	6
TADBD	2	9
TADBD	2	9
TADBD	2	11
TADBD	2	11
TADBD	3	17
TADBD	3	17
TADBD	3	17
TADBD	1	8
TADBD	7	7
TADBD	7	7
TADBD	7	7
TADBD	7	7
TADBD	7	7
TADBD	7	7
TADBD	7	7
TADBD	1	8
TADBD	1	3
TADBD	8	6
TADBD	8	6
TADBD	8	6
TADBD	8	6
TADBD	8	6
TADBD	8	6
TADBD	8	6
TADBD	8	6
TADBD	1	6
TADBD	8	13
TADBD	8	13
TADBD	8	13
TADBD	8	13
TADBD	8	13
TADBD	8	13
TADBD	8	13
TADBD	8	13
TADBD	1	7
TADBD	1	5
TADBD	5	6
TADBD	5	6
TADBD	5	6
TADBD	5	6
TADBD	5	6
TADBD	1	8
TADBD	1	16
TADBD	2	8
TADBD	2	8
TADBD	1	4
TADBD	8	12
TADBD	8	12
TADBD	8	12
TADBD	8	12
TADBD	8	12
TADBD	8	12
TADBD	8	12
TADBD	8	12
TADBD	2	6
TADBD	2	6
