caller	freq	value
TADbit	1	11
TADbit	1	26
TADbit	1	76
TADbit	2	5
TADbit	2	5
TADbit	1	7
TADbit	1	10
TADbit	1	5
TADbit	7	23
TADbit	7	23
TADbit	7	23
TADbit	7	23
TADbit	7	23
TADbit	7	23
TADbit	7	23
TADbit	4	5
TADbit	4	5
TADbit	4	5
TADbit	4	5
TADbit	4	11
TADbit	4	11
TADbit	4	11
TADbit	4	11
TADbit	1	41
TADbit	1	15
TADbit	6	9
TADbit	6	9
TADbit	6	9
TADbit	6	9
TADbit	6	9
TADbit	6	9
TADbit	1	8
TADbit	1	8
TADbit	2	7
TADbit	2	7
TADbit	1	9
TADbit	1	10
TADbit	1	38
TADbit	4	15
TADbit	4	15
TADbit	4	15
TADbit	4	15
TADbit	6	6
TADbit	6	6
TADbit	6	6
TADbit	6	6
TADbit	6	6
TADbit	6	6
TADbit	2	9
TADbit	2	9
TADbit	5	11
TADbit	5	11
TADbit	5	11
TADbit	5	11
TADbit	5	11
TADbit	1	7
TADbit	4	5
TADbit	4	5
TADbit	4	5
TADbit	4	5
TADbit	2	34
TADbit	2	34
TADbit	1	8
TADbit	2	9
TADbit	2	9
TADbit	2	37
TADbit	2	37
TADbit	1	9
TADbit	2	12
TADbit	2	12
TADbit	2	23
TADbit	2	23
TADbit	1	5
TADbit	4	19
TADbit	4	19
TADbit	4	19
TADbit	4	19
TADbit	5	26
TADbit	5	26
TADbit	5	26
TADbit	5	26
TADbit	5	26
TADbit	5	6
TADbit	5	6
TADbit	5	6
TADbit	5	6
TADbit	5	6
TADbit	2	30
TADbit	2	30
TADbit	3	14
TADbit	3	14
TADbit	3	14
TADbit	8	57
TADbit	8	57
TADbit	8	57
TADbit	8	57
TADbit	8	57
TADbit	8	57
TADbit	8	57
TADbit	8	57
TADbit	3	5
TADbit	3	5
TADbit	3	5
TADbit	1	22
TADbit	8	5
TADbit	8	5
TADbit	8	5
TADbit	8	5
TADbit	8	5
TADbit	8	5
TADbit	8	5
TADbit	8	5
TADbit	1	4
TADbit	5	12
TADbit	5	12
TADbit	5	12
TADbit	5	12
TADbit	5	12
TADbit	1	6
TADbit	1	24
TADbit	3	28
TADbit	3	28
TADbit	3	28
TADbit	6	17
TADbit	6	17
TADbit	6	17
TADbit	6	17
TADbit	6	17
TADbit	6	17
TADbit	6	20
TADbit	6	20
TADbit	6	20
TADbit	6	20
TADbit	6	20
TADbit	6	20
TADbit	2	5
TADbit	2	5
TADbit	2	8
TADbit	2	8
TADbit	1	7
TADbit	4	29
TADbit	4	29
TADbit	4	29
TADbit	4	29
TADbit	2	41
TADbit	2	41
TADbit	1	5
TADbit	5	14
TADbit	5	14
TADbit	5	14
TADbit	5	14
TADbit	5	14
TADbit	8	25
TADbit	8	25
TADbit	8	25
TADbit	8	25
TADbit	8	25
TADbit	8	25
TADbit	8	25
TADbit	8	25
TADbit	1	6
TADbit	1	17
TADbit	3	39
TADbit	3	39
TADbit	3	39
TADbit	1	10
TADbit	4	18
TADbit	4	18
TADbit	4	18
TADbit	4	18
TADbit	7	15
TADbit	7	15
TADbit	7	15
TADbit	7	15
TADbit	7	15
TADbit	7	15
TADbit	7	15
TADbit	1	42
TADbit	3	18
TADbit	3	18
TADbit	3	18
TADbit	2	26
TADbit	2	26
TADbit	2	40
TADbit	2	40
TADbit	1	8
TADbit	1	14
TADbit	1	14
TADbit	1	9
TADbit	1	9
TADbit	1	19
TADbit	1	30
TADbit	2	36
TADbit	2	36
TADbit	3	19
TADbit	3	19
TADbit	3	19
TADbit	1	20
TADbit	3	17
TADbit	3	17
TADbit	3	17
TADbit	7	49
TADbit	7	49
TADbit	7	49
TADbit	7	49
TADbit	7	49
TADbit	7	49
TADbit	7	49
TADbit	1	5
TADbit	1	34
TADbit	1	42
TADbit	3	19
TADbit	3	19
TADbit	3	19
TADbit	4	40
TADbit	4	40
TADbit	4	40
TADbit	4	40
TADbit	1	21
TADbit	4	9
TADbit	4	9
TADbit	4	9
TADbit	4	9
TADbit	2	22
TADbit	2	22
TADbit	1	12
TADbit	4	7
TADbit	4	7
TADbit	4	7
TADbit	4	7
TADbit	5	12
TADbit	5	12
TADbit	5	12
TADbit	5	12
TADbit	5	12
TADbit	1	32
TADbit	1	13
TADbit	2	7
TADbit	2	7
TADbit	1	11
TADbit	2	11
TADbit	2	11
TADbit	7	10
TADbit	7	10
TADbit	7	10
TADbit	7	10
TADbit	7	10
TADbit	7	10
TADbit	7	10
TADbit	3	6
TADbit	3	6
TADbit	3	6
TADbit	1	10
TADbit	2	7
TADbit	2	7
TADbit	1	19
TADbit	1	80
TADbit	1	31
TADbit	3	23
TADbit	3	23
TADbit	3	23
TADbit	1	17
TADbit	5	14
TADbit	5	14
TADbit	5	14
TADbit	5	14
TADbit	5	14
TADbit	4	14
TADbit	4	14
TADbit	4	14
TADbit	4	14
TADbit	2	13
TADbit	2	13
TADbit	4	9
TADbit	4	9
TADbit	4	9
TADbit	4	9
TADbit	1	16
TADbit	1	19
TADbit	1	5
TADbit	1	53
TADbit	1	19
TADbit	5	22
TADbit	5	22
TADbit	5	22
TADbit	5	22
TADbit	5	22
TADbit	1	23
TADbit	8	5
TADbit	8	5
TADbit	8	5
TADbit	8	5
TADbit	8	5
TADbit	8	5
TADbit	8	5
TADbit	8	5
TADbit	1	15
TADbit	1	8
TADbit	1	19
TADbit	1	7
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	28
TADbit	5	28
TADbit	5	28
TADbit	5	28
TADbit	5	28
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	2	6
TADbit	2	6
TADbit	1	8
TADbit	8	6
TADbit	8	6
TADbit	8	6
TADbit	8	6
TADbit	8	6
TADbit	8	6
TADbit	8	6
TADbit	8	6
TADbit	2	7
TADbit	2	7
TADbit	2	10
TADbit	2	10
TADbit	3	30
TADbit	3	30
TADbit	3	30
TADbit	3	5
TADbit	3	5
TADbit	3	5
TADbit	1	28
TADbit	3	23
TADbit	3	23
TADbit	3	23
TADbit	2	16
TADbit	2	16
TADbit	1	5
TADbit	2	43
TADbit	2	43
TADbit	1	5
TADbit	2	8
TADbit	2	8
TADbit	5	9
TADbit	5	9
TADbit	5	9
TADbit	5	9
TADbit	5	9
TADbit	1	5
TADbit	1	23
TADbit	2	5
TADbit	2	5
TADbit	1	34
TADbit	1	26
TADbit	4	42
TADbit	4	42
TADbit	4	42
TADbit	4	42
TADbit	3	7
TADbit	3	7
TADbit	3	7
TADbit	1	96
TADbit	1	5
TADbit	1	9
TADbit	8	112
TADbit	8	112
TADbit	8	112
TADbit	8	112
TADbit	8	112
TADbit	8	112
TADbit	8	112
TADbit	8	112
TADbit	1	40
TADbit	7	12
TADbit	7	12
TADbit	7	12
TADbit	7	12
TADbit	7	12
TADbit	7	12
TADbit	7	12
TADbit	5	19
TADbit	5	19
TADbit	5	19
TADbit	5	19
TADbit	5	19
TADbit	1	8
TADbit	2	53
TADbit	2	53
TADbit	7	6
TADbit	7	6
TADbit	7	6
TADbit	7	6
TADbit	7	6
TADbit	7	6
TADbit	7	6
TADbit	1	6
TADbit	1	41
TADbit	1	24
TADbit	7	33
TADbit	7	33
TADbit	7	33
TADbit	7	33
TADbit	7	33
TADbit	7	33
TADbit	7	33
TADbit	1	11
TADbit	1	24
TADbit	6	11
TADbit	6	11
TADbit	6	11
TADbit	6	11
TADbit	6	11
TADbit	6	11
TADbit	3	14
TADbit	3	14
TADbit	3	14
TADbit	4	7
TADbit	4	7
TADbit	4	7
TADbit	4	7
TADbit	4	6
TADbit	4	6
TADbit	4	6
TADbit	4	6
TADbit	1	7
TADbit	1	32
TADbit	1	6
TADbit	1	20
TADbit	1	5
TADbit	6	5
TADbit	6	5
TADbit	6	5
TADbit	6	5
TADbit	6	5
TADbit	6	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	2	17
TADbit	2	17
TADbit	3	27
TADbit	3	27
TADbit	3	27
TADbit	1	5
TADbit	1	18
TADbit	2	18
TADbit	2	18
TADbit	8	98
TADbit	8	98
TADbit	8	98
TADbit	8	98
TADbit	8	98
TADbit	8	98
TADbit	8	98
TADbit	8	98
TADbit	3	6
TADbit	3	6
TADbit	3	6
TADbit	2	10
TADbit	2	10
TADbit	3	7
TADbit	3	7
TADbit	3	7
TADbit	1	8
TADbit	4	5
TADbit	4	5
TADbit	4	5
TADbit	4	5
TADbit	3	8
TADbit	3	8
TADbit	3	8
TADbit	8	15
TADbit	8	15
TADbit	8	15
TADbit	8	15
TADbit	8	15
TADbit	8	15
TADbit	8	15
TADbit	8	15
TADbit	5	24
TADbit	5	24
TADbit	5	24
TADbit	5	24
TADbit	5	24
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	1	16
TADbit	1	39
TADbit	2	5
TADbit	2	5
TADbit	1	7
TADbit	2	99
TADbit	2	99
TADbit	1	5
TADbit	6	19
TADbit	6	19
TADbit	6	19
TADbit	6	19
TADbit	6	19
TADbit	6	19
TADbit	8	34
TADbit	8	34
TADbit	8	34
TADbit	8	34
TADbit	8	34
TADbit	8	34
TADbit	8	34
TADbit	8	34
TADbit	6	8
TADbit	6	8
TADbit	6	8
TADbit	6	8
TADbit	6	8
TADbit	6	8
TADbit	1	22
TADbit	8	21
TADbit	8	21
TADbit	8	21
TADbit	8	21
TADbit	8	21
TADbit	8	21
TADbit	8	21
TADbit	8	21
TADbit	2	15
TADbit	2	15
TADbit	1	26
TADbit	2	35
TADbit	2	35
TADbit	8	20
TADbit	8	20
TADbit	8	20
TADbit	8	20
TADbit	8	20
TADbit	8	20
TADbit	8	20
TADbit	8	20
TADbit	1	38
TADbit	1	37
TADbit	4	13
TADbit	4	13
TADbit	4	13
TADbit	4	13
TADbit	3	34
TADbit	3	34
TADbit	3	34
TADbit	1	10
TADbit	1	27
TADbit	1	7
TADbit	5	7
TADbit	5	7
TADbit	5	7
TADbit	5	7
TADbit	5	7
TADbit	2	39
TADbit	2	39
TADbit	8	21
TADbit	8	21
TADbit	8	21
TADbit	8	21
TADbit	8	21
TADbit	8	21
TADbit	8	21
TADbit	8	21
TADbit	1	9
TADbit	1	6
TADbit	4	13
TADbit	4	13
TADbit	4	13
TADbit	4	13
TADbit	1	12
TADbit	1	12
TADbit	1	17
TADbit	1	7
TADbit	1	5
TADbit	4	98
TADbit	4	98
TADbit	4	98
TADbit	4	98
TADbit	2	40
TADbit	2	40
TADbit	1	50
TADbit	5	6
TADbit	5	6
TADbit	5	6
TADbit	5	6
TADbit	5	6
TADbit	1	42
TADbit	3	7
TADbit	3	7
TADbit	3	7
TADbit	3	26
TADbit	3	26
TADbit	3	26
TADbit	3	12
