caller	freq	value
TADtree	2	7
TADtree	2	7
TADtree	5	11
TADtree	5	11
TADtree	5	11
TADtree	5	11
TADtree	5	11
TADtree	1	4
TADtree	1	4
TADtree	1	5
TADtree	6	6
TADtree	6	6
TADtree	6	6
TADtree	6	6
TADtree	6	6
TADtree	6	6
TADtree	7	5
TADtree	7	5
TADtree	7	5
TADtree	7	5
TADtree	7	5
TADtree	7	5
TADtree	7	5
TADtree	1	9
TADtree	2	3
TADtree	2	3
TADtree	1	4
TADtree	1	4
TADtree	2	3
TADtree	2	3
TADtree	2	12
TADtree	2	12
TADtree	2	15
TADtree	2	15
TADtree	2	4
TADtree	2	4
TADtree	1	4
TADtree	2	4
TADtree	2	4
TADtree	1	10
TADtree	2	4
TADtree	2	4
TADtree	1	6
TADtree	2	16
TADtree	2	16
TADtree	1	42
TADtree	6	4
TADtree	6	4
TADtree	6	4
TADtree	6	4
TADtree	6	4
TADtree	6	4
TADtree	1	12
TADtree	1	20
TADtree	1	4
TADtree	6	4
TADtree	6	4
TADtree	6	4
TADtree	6	4
TADtree	6	4
TADtree	6	4
TADtree	5	4
TADtree	5	4
TADtree	5	4
TADtree	5	4
TADtree	5	4
TADtree	2	4
TADtree	2	4
TADtree	1	4
TADtree	2	5
TADtree	2	5
TADtree	1	50
TADtree	3	3
TADtree	3	3
TADtree	3	3
TADtree	1	3
TADtree	1	45
TADtree	4	6
TADtree	4	6
TADtree	4	6
TADtree	4	6
TADtree	1	12
TADtree	1	4
TADtree	1	41
TADtree	2	4
TADtree	2	4
TADtree	1	8
TADtree	7	19
TADtree	7	19
TADtree	7	19
TADtree	7	19
TADtree	7	19
TADtree	7	19
TADtree	7	19
TADtree	1	6
TADtree	1	12
TADtree	1	48
TADtree	1	8
TADtree	1	24
TADtree	1	5
TADtree	2	9
TADtree	2	9
TADtree	3	4
TADtree	3	4
TADtree	3	4
TADtree	1	5
TADtree	1	12
TADtree	1	22
TADtree	1	6
TADtree	4	4
TADtree	4	4
TADtree	4	4
TADtree	4	4
TADtree	1	17
TADtree	1	4
TADtree	1	4
TADtree	2	8
TADtree	2	8
TADtree	3	30
TADtree	3	30
TADtree	3	30
TADtree	5	20
TADtree	5	20
TADtree	5	20
TADtree	5	20
TADtree	5	20
TADtree	2	11
TADtree	2	11
TADtree	1	4
TADtree	1	50
TADtree	1	5
TADtree	1	11
TADtree	2	11
TADtree	2	11
TADtree	1	29
TADtree	7	5
TADtree	7	5
TADtree	7	5
TADtree	7	5
TADtree	7	5
TADtree	7	5
TADtree	7	5
TADtree	1	10
TADtree	3	4
TADtree	3	4
TADtree	3	4
TADtree	2	6
TADtree	2	6
TADtree	1	6
TADtree	1	5
TADtree	1	4
TADtree	1	11
TADtree	3	6
TADtree	3	6
TADtree	3	6
TADtree	1	33
TADtree	1	8
TADtree	3	15
TADtree	3	15
TADtree	3	15
TADtree	1	4
TADtree	8	12
TADtree	8	12
TADtree	8	12
TADtree	8	12
TADtree	8	12
TADtree	8	12
TADtree	8	12
TADtree	8	12
TADtree	4	3
TADtree	4	3
TADtree	4	3
TADtree	4	3
TADtree	1	18
TADtree	1	7
TADtree	1	21
TADtree	3	11
TADtree	3	11
TADtree	3	11
TADtree	1	29
TADtree	1	13
TADtree	5	6
TADtree	5	6
TADtree	5	6
TADtree	5	6
TADtree	5	6
TADtree	1	11
TADtree	4	5
TADtree	4	5
TADtree	4	5
TADtree	4	5
TADtree	1	10
TADtree	2	16
TADtree	2	16
TADtree	1	37
TADtree	1	5
TADtree	1	4
TADtree	1	5
TADtree	8	4
TADtree	8	4
TADtree	8	4
TADtree	8	4
TADtree	8	4
TADtree	8	4
TADtree	8	4
TADtree	8	4
TADtree	5	4
TADtree	5	4
TADtree	5	4
TADtree	5	4
TADtree	5	4
TADtree	2	6
TADtree	2	6
TADtree	1	3
TADtree	1	11
TADtree	1	14
TADtree	4	5
TADtree	4	5
TADtree	4	5
TADtree	4	5
TADtree	1	28
TADtree	1	6
TADtree	1	34
TADtree	1	39
TADtree	1	4
TADtree	1	6
TADtree	1	10
TADtree	1	39
TADtree	1	10
TADtree	6	4
TADtree	6	4
TADtree	6	4
TADtree	6	4
TADtree	6	4
TADtree	6	4
TADtree	1	5
TADtree	1	5
TADtree	1	33
TADtree	1	14
TADtree	1	9
TADtree	1	4
TADtree	1	4
TADtree	2	18
TADtree	2	18
TADtree	1	5
TADtree	2	4
TADtree	2	4
TADtree	1	3
TADtree	1	13
TADtree	4	13
TADtree	4	13
TADtree	4	13
TADtree	4	13
TADtree	1	4
TADtree	8	3
TADtree	8	3
TADtree	8	3
TADtree	8	3
