caller	freq	value
TopDom	1	12
TopDom	8	10
TopDom	8	10
TopDom	8	10
TopDom	8	10
TopDom	8	10
TopDom	8	10
TopDom	8	10
TopDom	8	10
TopDom	6	10
TopDom	6	10
TopDom	6	10
TopDom	6	10
TopDom	6	10
TopDom	6	10
TopDom	1	21
TopDom	8	12
TopDom	8	12
TopDom	8	12
TopDom	8	12
TopDom	8	12
TopDom	8	12
TopDom	8	12
TopDom	8	12
TopDom	1	38
TopDom	8	6
TopDom	8	6
TopDom	8	6
TopDom	8	6
TopDom	8	6
TopDom	8	6
TopDom	8	6
TopDom	8	6
TopDom	1	12
TopDom	1	4
TopDom	1	9
TopDom	2	24
TopDom	2	24
TopDom	1	17
TopDom	1	12
TopDom	6	3
TopDom	6	3
TopDom	6	3
TopDom	6	3
TopDom	6	3
TopDom	6	3
TopDom	1	14
TopDom	1	19
TopDom	1	8
TopDom	8	5
TopDom	8	5
TopDom	8	5
TopDom	8	5
TopDom	8	5
TopDom	8	5
TopDom	8	5
TopDom	8	5
TopDom	1	7
TopDom	1	6
TopDom	5	13
TopDom	5	13
TopDom	5	13
TopDom	5	13
TopDom	5	13
TopDom	3	5
TopDom	3	5
TopDom	3	5
TopDom	3	17
TopDom	3	17
TopDom	3	17
TopDom	2	8
TopDom	2	8
TopDom	3	12
TopDom	3	12
TopDom	3	12
TopDom	2	16
TopDom	2	16
TopDom	1	10
TopDom	4	23
TopDom	4	23
TopDom	4	23
TopDom	4	23
TopDom	4	11
TopDom	4	11
TopDom	4	11
TopDom	4	11
TopDom	2	14
TopDom	2	14
TopDom	1	9
TopDom	1	7
TopDom	1	11
TopDom	7	6
TopDom	7	6
TopDom	7	6
TopDom	7	6
TopDom	7	6
TopDom	7	6
TopDom	7	6
TopDom	1	7
TopDom	1	14
TopDom	8	11
TopDom	8	11
TopDom	8	11
TopDom	8	11
TopDom	8	11
TopDom	8	11
TopDom	8	11
TopDom	8	11
TopDom	2	10
TopDom	2	10
TopDom	1	12
TopDom	1	26
TopDom	1	10
TopDom	8	6
TopDom	8	6
TopDom	8	6
TopDom	8	6
TopDom	8	6
TopDom	8	6
TopDom	8	6
TopDom	8	6
TopDom	5	7
TopDom	5	7
TopDom	5	7
TopDom	5	7
TopDom	5	7
TopDom	1	42
TopDom	1	29
TopDom	4	11
TopDom	4	11
TopDom	4	11
TopDom	4	11
TopDom	1	13
TopDom	2	17
TopDom	2	17
TopDom	1	5
TopDom	1	9
TopDom	2	14
TopDom	2	14
TopDom	1	3
TopDom	1	5
TopDom	1	9
TopDom	1	10
TopDom	5	7
TopDom	5	7
TopDom	5	7
TopDom	5	7
TopDom	5	7
TopDom	1	56
TopDom	6	5
TopDom	6	5
TopDom	6	5
TopDom	6	5
TopDom	6	5
TopDom	6	5
TopDom	1	11
TopDom	3	7
TopDom	3	7
TopDom	3	7
TopDom	1	5
TopDom	1	17
TopDom	1	5
TopDom	6	9
TopDom	6	9
TopDom	6	9
TopDom	6	9
TopDom	6	9
TopDom	6	9
TopDom	1	41
TopDom	2	9
TopDom	2	9
TopDom	1	12
TopDom	4	8
