caller	freq	value
deDoc	1	2
deDoc	3	12
deDoc	3	12
deDoc	3	12
deDoc	1	4
deDoc	1	12
deDoc	1	22
deDoc	4	13
deDoc	4	13
deDoc	4	13
deDoc	4	13
deDoc	2	10
deDoc	2	10
deDoc	3	9
deDoc	3	9
deDoc	3	9
deDoc	1	14
deDoc	1	59
deDoc	1	9
deDoc	1	9
deDoc	2	5
deDoc	2	5
deDoc	2	6
deDoc	2	6
deDoc	3	4
deDoc	3	4
deDoc	3	4
deDoc	2	14
deDoc	2	14
deDoc	3	38
deDoc	3	38
deDoc	3	38
deDoc	2	6
deDoc	2	6
deDoc	3	10
deDoc	3	10
deDoc	3	10
deDoc	1	10
deDoc	4	10
deDoc	4	10
deDoc	4	10
deDoc	4	10
deDoc	1	4
deDoc	1	6
deDoc	3	14
deDoc	3	14
deDoc	3	14
deDoc	1	25
deDoc	1	5
deDoc	1	8
deDoc	2	7
deDoc	2	7
deDoc	2	3
deDoc	2	3
deDoc	4	4
deDoc	4	4
deDoc	4	4
deDoc	4	4
deDoc	2	11
deDoc	2	11
deDoc	2	28
deDoc	2	28
deDoc	1	6
deDoc	2	10
deDoc	2	10
deDoc	2	22
deDoc	2	22
deDoc	2	19
deDoc	2	19
deDoc	2	14
deDoc	2	14
deDoc	3	42
deDoc	3	42
deDoc	3	42
deDoc	1	7
deDoc	4	9
deDoc	4	9
deDoc	4	9
deDoc	4	9
deDoc	1	15
deDoc	1	3
deDoc	1	12
deDoc	1	43
deDoc	1	16
deDoc	2	27
deDoc	2	27
deDoc	1	3
deDoc	1	5
deDoc	1	182
deDoc	5	4
deDoc	5	4
deDoc	5	4
deDoc	5	4
deDoc	5	4
deDoc	1	103
deDoc	1	119
deDoc	1	7
deDoc	1	15
deDoc	1	17
deDoc	1	88
deDoc	1	5
deDoc	2	9
deDoc	2	9
deDoc	3	8
deDoc	3	8
deDoc	3	8
deDoc	1	7
deDoc	4	40
deDoc	4	40
deDoc	4	40
deDoc	4	40
deDoc	1	10
deDoc	1	171
deDoc	1	13
deDoc	1	5
deDoc	1	17
deDoc	3	13
deDoc	3	13
deDoc	3	13
deDoc	2	6
deDoc	2	6
deDoc	1	8
deDoc	2	13
deDoc	2	13
deDoc	1	5
deDoc	1	19
deDoc	1	17
deDoc	2	5
deDoc	2	5
deDoc	1	10
deDoc	1	4
deDoc	1	24
deDoc	1	3
deDoc	3	18
deDoc	3	18
deDoc	3	18
deDoc	1	13
deDoc	1	45
deDoc	1	8
deDoc	2	4
deDoc	2	4
deDoc	1	94
deDoc	2	9
deDoc	2	9
deDoc	2	12
deDoc	2	12
deDoc	1	7
deDoc	1	4
deDoc	7	4
deDoc	7	4
deDoc	7	4
deDoc	7	4
deDoc	7	4
deDoc	7	4
deDoc	7	4
deDoc	1	5
deDoc	1	19
deDoc	1	257
deDoc	4	6
deDoc	4	6
deDoc	4	6
deDoc	4	6
deDoc	1	5
deDoc	2	24
deDoc	2	24
deDoc	1	13
deDoc	1	2
deDoc	1	35
deDoc	1	17
deDoc	1	7
deDoc	8	7
deDoc	8	7
deDoc	8	7
deDoc	8	7
deDoc	8	7
deDoc	8	7
deDoc	8	7
deDoc	8	7
deDoc	1	6
deDoc	1	39
deDoc	1	15
deDoc	2	3
deDoc	2	3
deDoc	2	18
deDoc	2	18
deDoc	1	55
deDoc	3	5
deDoc	3	5
deDoc	3	5
deDoc	1	16
deDoc	1	16
deDoc	1	6
deDoc	2	7
deDoc	2	7
deDoc	7	3
deDoc	7	3
deDoc	7	3
deDoc	7	3
deDoc	7	3
deDoc	7	3
deDoc	7	3
deDoc	1	14
deDoc	1	9
deDoc	3	7
deDoc	3	7
deDoc	3	7
deDoc	1	10
deDoc	2	7
deDoc	2	7
deDoc	1	15
deDoc	1	5
deDoc	1	190
deDoc	1	6
deDoc	1	6
deDoc	4	19
deDoc	4	19
deDoc	4	19
deDoc	4	19
deDoc	1	7
deDoc	1	19
deDoc	1	11
deDoc	4	27
deDoc	4	27
deDoc	4	27
deDoc	4	27
deDoc	3	10
deDoc	3	10
deDoc	3	10
deDoc	1	16
deDoc	2	24
deDoc	2	24
deDoc	4	3
deDoc	4	3
deDoc	4	3
deDoc	4	3
deDoc	2	3
deDoc	2	3
deDoc	2	39
deDoc	2	39
deDoc	1	22
deDoc	1	8
deDoc	1	6
deDoc	1	14
deDoc	1	15
deDoc	1	16
deDoc	1	7
deDoc	1	17
deDoc	3	7
deDoc	3	7
deDoc	3	7
deDoc	5	7
deDoc	5	7
deDoc	5	7
deDoc	5	7
deDoc	5	7
deDoc	1	77
deDoc	1	150
deDoc	2	6
deDoc	2	6
deDoc	2	14
deDoc	2	14
deDoc	1	19
deDoc	1	7
deDoc	2	29
deDoc	2	29
deDoc	1	8
deDoc	1	13
deDoc	2	17
deDoc	2	17
deDoc	1	21
deDoc	2	13
deDoc	2	13
deDoc	2	42
deDoc	2	42
deDoc	1	40
deDoc	3	15
deDoc	3	15
deDoc	3	15
deDoc	1	4
deDoc	2	4
deDoc	2	4
deDoc	3	5
deDoc	3	5
deDoc	3	5
deDoc	1	62
deDoc	1	16
deDoc	1	9
deDoc	1	55
deDoc	3	7
deDoc	3	7
deDoc	3	7
deDoc	1	9
deDoc	1	14
deDoc	1	15
deDoc	1	10
deDoc	4	6
deDoc	4	6
deDoc	4	6
deDoc	4	6
deDoc	2	75
deDoc	2	75
deDoc	1	5
deDoc	1	23
deDoc	1	8
deDoc	1	7
deDoc	4	10
deDoc	4	10
deDoc	4	10
deDoc	4	10
deDoc	1	4
deDoc	8	3
deDoc	8	3
deDoc	8	3
deDoc	8	3
deDoc	8	3
deDoc	8	3
deDoc	8	3
deDoc	8	3
deDoc	2	25
deDoc	2	25
deDoc	3	9
deDoc	3	9
deDoc	3	9
deDoc	1	12
deDoc	1	131
deDoc	2	10
deDoc	2	10
deDoc	2	5
deDoc	2	5
deDoc	6	10
deDoc	6	10
deDoc	6	10
deDoc	6	10
deDoc	6	10
deDoc	6	10
deDoc	4	5
deDoc	4	5
deDoc	4	5
deDoc	4	5
deDoc	1	9
deDoc	5	4
deDoc	5	4
deDoc	5	4
deDoc	5	4
deDoc	5	4
deDoc	1	43
deDoc	1	9
deDoc	1	2
deDoc	1	178
deDoc	1	10
deDoc	1	9
deDoc	1	81
deDoc	1	3
deDoc	2	11
deDoc	2	11
deDoc	1	21
deDoc	1	7
deDoc	1	16
deDoc	5	5
deDoc	5	5
deDoc	5	5
deDoc	5	5
deDoc	5	5
deDoc	3	11
deDoc	3	11
deDoc	3	11
deDoc	3	9
deDoc	3	9
deDoc	3	9
deDoc	2	7
deDoc	2	7
deDoc	1	12
deDoc	1	20
deDoc	1	12
deDoc	1	7
deDoc	3	9
deDoc	3	9
deDoc	3	9
deDoc	1	15
deDoc	2	10
deDoc	2	10
deDoc	3	130
deDoc	3	130
deDoc	3	130
deDoc	1	1
deDoc	2	15
deDoc	2	15
deDoc	1	18
deDoc	1	14
deDoc	7	6
deDoc	7	6
deDoc	7	6
deDoc	7	6
deDoc	7	6
deDoc	7	6
deDoc	7	6
deDoc	1	6
deDoc	1	8
deDoc	1	66
deDoc	2	20
deDoc	2	20
deDoc	1	44
deDoc	1	56
deDoc	3	10
deDoc	3	10
deDoc	3	10
deDoc	1	7
deDoc	2	8
deDoc	2	8
deDoc	1	26
deDoc	1	6
deDoc	2	4
deDoc	2	4
deDoc	1	9
deDoc	4	4
deDoc	4	4
deDoc	4	4
deDoc	4	4
deDoc	1	87
deDoc	2	6
deDoc	2	6
deDoc	3	8
deDoc	3	8
deDoc	3	8
deDoc	1	11
deDoc	6	8
deDoc	6	8
deDoc	6	8
deDoc	6	8
deDoc	6	8
deDoc	6	8
deDoc	1	7
deDoc	6	4
deDoc	6	4
deDoc	6	4
deDoc	6	4
deDoc	6	4
deDoc	6	4
deDoc	2	10
deDoc	2	10
deDoc	1	25
deDoc	3	9
deDoc	3	9
deDoc	3	9
deDoc	1	13
deDoc	1	13
deDoc	2	12
deDoc	2	12
deDoc	1	9
deDoc	1	15
deDoc	1	3
deDoc	2	5
deDoc	2	5
deDoc	1	8
deDoc	1	106
deDoc	1	7
deDoc	1	9
deDoc	4	7
deDoc	4	7
deDoc	4	7
deDoc	4	7
deDoc	1	11
deDoc	1	16
deDoc	2	21
deDoc	2	21
deDoc	1	101
deDoc	1	44
deDoc	1	15
deDoc	8	7
deDoc	8	7
deDoc	8	7
deDoc	8	7
deDoc	8	7
deDoc	8	7
deDoc	8	7
deDoc	8	7
deDoc	1	26
deDoc	1	9
deDoc	2	14
deDoc	2	14
deDoc	4	5
deDoc	4	5
deDoc	4	5
deDoc	4	5
deDoc	7	3
deDoc	7	3
deDoc	7	3
deDoc	7	3
deDoc	7	3
deDoc	7	3
deDoc	7	3
deDoc	1	18
deDoc	4	64
deDoc	4	64
deDoc	4	64
deDoc	4	64
deDoc	1	8
deDoc	4	6
deDoc	4	6
deDoc	4	6
deDoc	4	6
deDoc	1	12
deDoc	7	5
deDoc	7	5
deDoc	7	5
deDoc	7	5
deDoc	7	5
deDoc	7	5
deDoc	7	5
deDoc	3	10
deDoc	3	10
deDoc	3	10
deDoc	1	8
deDoc	1	11
deDoc	1	11
deDoc	1	110
deDoc	1	8
deDoc	1	32
deDoc	1	106
deDoc	3	9
deDoc	3	9
deDoc	3	9
deDoc	4	5
deDoc	4	5
