caller	freq	value
IC-Finder	2	0.06833286379532948
IC-Finder	2	0.11199361143332807
IC-Finder	1	0.07122719235257795
IC-Finder	1	0.01281626498332158
IC-Finder	1	0.0251939735616923
IC-Finder	1	0.026037176477668938
IC-Finder	3	0.03286695351116262
IC-Finder	3	0.018800675968965876
IC-Finder	3	0.019703461028809384
IC-Finder	1	0.01608234815143032
IC-Finder	1	0.07891819362718183
IC-Finder	1	0.30340429495905036
IC-Finder	2	
IC-Finder	2	
IC-Finder	1	0.0764507859477916
IC-Finder	1	0.007291875837801597
IC-Finder	4	0.0765431314191927
IC-Finder	4	0.07507746316976235
IC-Finder	4	0.0657580338679396
IC-Finder	4	0.07269664721492228
IC-Finder	1	0.06849838829843848
IC-Finder	1	
IC-Finder	2	0.102424212561613
IC-Finder	2	0.08415931489705974
IC-Finder	1	0.429785116349781
IC-Finder	2	0.07512378915576665
IC-Finder	2	0.06760222070013835
IC-Finder	1	0.12136452692008248
IC-Finder	1	0.0951907473854155
IC-Finder	1	0.04164156868018413
IC-Finder	1	0.046136302019676646
IC-Finder	2	0.09149263302825672
IC-Finder	2	0.0900653691938082
IC-Finder	2	0.07312167180038669
IC-Finder	2	0.06580908479271341
IC-Finder	1	0.06137782971493921
IC-Finder	1	0.07496860620243398
IC-Finder	1	0.0546330719477734
IC-Finder	1	0.021774389993253908
IC-Finder	2	0.032221194154465296
IC-Finder	2	0.02163485033031196
IC-Finder	1	0.03185856933010204
IC-Finder	1	0.020921008736853982
IC-Finder	2	0.19940710468406164
IC-Finder	2	0.15055846444735335
IC-Finder	5	0.38780105043817953
IC-Finder	5	0.28160452687834014
IC-Finder	5	0.1937394659616882
IC-Finder	5	0.33153964008690867
IC-Finder	5	0.33394883443151
IC-Finder	2	0.01960710454012081
IC-Finder	2	0.01607288041259597
IC-Finder	4	0.10682872878939989
IC-Finder	4	0.08773760816609008
IC-Finder	4	0.08468985909775163
IC-Finder	4	0.07614364862415772
IC-Finder	1	0.06055366982458689
IC-Finder	1	0.06777331506842309
IC-Finder	1	0.09895677904315196
IC-Finder	1	0.01261088582599694
IC-Finder	1	0.10211298825147874
IC-Finder	1	0.09575250387196695
IC-Finder	1	0.04011143905810573
IC-Finder	1	0.09600491375237684
IC-Finder	3	0.06308330355572948
IC-Finder	3	0.07193449438487085
IC-Finder	3	0.07035338686196871
IC-Finder	1	0.13460120047958346
IC-Finder	1	0.048313648223828984
IC-Finder	1	0.00938226406758658
IC-Finder	5	0.11992747751930233
IC-Finder	5	0.11874246964960455
IC-Finder	5	0.08960488799717789
IC-Finder	5	0.10881416729384225
IC-Finder	5	0.0997322235453504
IC-Finder	1	0.06334329893532369
IC-Finder	1	0.04232146501793409
IC-Finder	1	0.05181002964198677
IC-Finder	4	0.14254682148711756
IC-Finder	4	0.2403820272734708
IC-Finder	4	0.2084382057314524
IC-Finder	4	0.20417690988585196
IC-Finder	1	0.04932905811006403
IC-Finder	3	0.06465827618453865
IC-Finder	3	0.047940606334486005
IC-Finder	3	0.03568177118090313
IC-Finder	3	0.10857762019511473
IC-Finder	3	0.101979612172713
IC-Finder	3	0.1182965795681753
IC-Finder	1	0.17254581750071696
IC-Finder	1	0.07051509662158115
IC-Finder	1	0.11713539770382778
IC-Finder	1	0.07386094647639722
IC-Finder	1	0.016332379169147787
IC-Finder	1	0.1340063422871505
IC-Finder	4	0.04171079351960558
IC-Finder	4	0.04470637195737158
IC-Finder	4	0.04151231418605454
IC-Finder	4	0.04051842287650539
IC-Finder	1	0.14576614146373423
IC-Finder	1	0.027172690120621425
IC-Finder	3	0.07367003785559632
IC-Finder	3	0.06374587303899726
IC-Finder	3	0.060027170638862065
IC-Finder	2	0.17818330413131683
IC-Finder	2	0.12372380979542172
IC-Finder	4	0.059490761412271276
IC-Finder	4	0.09332021416849887
IC-Finder	4	0.061552306527390584
IC-Finder	4	0.05833515029679632
IC-Finder	1	0.939427757537334
IC-Finder	1	0.05466378329294251
IC-Finder	1	0.06365616096261813
IC-Finder	1	0.07987142257023157
IC-Finder	1	0.018798240795726836
IC-Finder	1	0.012654756109956112
IC-Finder	1	0.08222298996214157
IC-Finder	1	0.06940650056880181
IC-Finder	1	0.057973153471878064
IC-Finder	1	0.03800955514530231
IC-Finder	4	0.058646411879306144
IC-Finder	4	0.03922549082629668
IC-Finder	4	0.03319019718835639
IC-Finder	4	0.035251095415493185
IC-Finder	1	0.20309949290201618
IC-Finder	1	0.06174631904119913
IC-Finder	1	0.04393234814865077
IC-Finder	1	0.08316734496679795
IC-Finder	1	0.4142649093424598
IC-Finder	1	0.04718779080846372
IC-Finder	2	0.11578118282838372
IC-Finder	2	0.08555147571669859
IC-Finder	1	0.18359313429740381
IC-Finder	1	0.011092775830615638
IC-Finder	5	0.07179709682710356
IC-Finder	5	0.08243645155315658
IC-Finder	5	0.06665173983813016
IC-Finder	5	0.06221208865559859
IC-Finder	5	0.0550853556685355
IC-Finder	1	0.0519607655979102
IC-Finder	2	0.016680748789189896
IC-Finder	2	0.013333543401820188
IC-Finder	1	0.04692795621652846
IC-Finder	2	0.03850686974829636
IC-Finder	2	0.061603081704190495
IC-Finder	2	0.17981272178653898
IC-Finder	2	0.1510109077476134
IC-Finder	2	0.14191452369535548
IC-Finder	2	0.15312978019475737
IC-Finder	1	0.023894135886679088
IC-Finder	1	0.0348766100969652
IC-Finder	2	0.0636182349079343
IC-Finder	2	0.03841990677338673
IC-Finder	1	0.05368591253906335
IC-Finder	2	0.06393821952966249
IC-Finder	2	0.06624636919404556
IC-Finder	5	0.13771952335461296
IC-Finder	5	0.14460522128389233
IC-Finder	5	0.12998991765817786
IC-Finder	5	0.13438626292947675
IC-Finder	5	0.13956813853497888
IC-Finder	5	0.030232493799983044
IC-Finder	5	0.047864618901953294
IC-Finder	5	0.0323258305238452
IC-Finder	5	0.027628717692769842
IC-Finder	5	0.029017731987608136
IC-Finder	1	0.06737130808552359
IC-Finder	1	0.041907211166956795
IC-Finder	3	0.09403373226935192
IC-Finder	3	0.08222651538523064
IC-Finder	3	0.07782237868089698
IC-Finder	5	0.10313864137709988
IC-Finder	5	0.07511525931847707
IC-Finder	5	0.09159929477052552
IC-Finder	5	0.10659415550711099
IC-Finder	5	0.09922571907085125
IC-Finder	2	0.06587084191066253
IC-Finder	2	0.08588283990484534
IC-Finder	1	0.03741170036476679
IC-Finder	4	0.009190718921260102
IC-Finder	4	0.007945076431725892
IC-Finder	4	0.00889203866427607
IC-Finder	4	0.008871452205081932
IC-Finder	1	0.13844272061246735
IC-Finder	2	0.025899477004014522
IC-Finder	2	0.030553193635206012
IC-Finder	1	0.06599312200209853
IC-Finder	2	0.02150721025869142
IC-Finder	2	0.01581636326801495
IC-Finder	3	0.0805549024067196
IC-Finder	3	0.0755418410420462
IC-Finder	3	0.07459784749023035
IC-Finder	3	0.03616386748121437
IC-Finder	3	0.03478032742281921
IC-Finder	3	0.03225354270568204
IC-Finder	2	0.0794890651924134
IC-Finder	2	0.07475872105320006
IC-Finder	1	0.031926434914794265
IC-Finder	1	0.07100119078815956
IC-Finder	1	0.021974816061020284
IC-Finder	5	0.09670077181347779
IC-Finder	5	0.11988289903263408
IC-Finder	5	0.09311844980353996
IC-Finder	5	0.08129154513391584
IC-Finder	5	0.0653415730986512
IC-Finder	2	0.035497386884114114
IC-Finder	2	0.03199289271223115
IC-Finder	2	0.045893013127413125
IC-Finder	2	0.049981058552171
IC-Finder	5	0.09811305042338075
IC-Finder	5	0.11974375020317934
IC-Finder	5	0.09209655871900936
IC-Finder	5	0.08297958997760702
IC-Finder	5	0.06679782322889471
IC-Finder	3	0.06555109580563687
IC-Finder	3	0.07088562181411147
IC-Finder	3	0.05879055735424917
IC-Finder	1	0.014341129204950466
IC-Finder	2	0.061940619011397864
IC-Finder	2	0.05309918027762452
IC-Finder	2	0.10164922457728079
IC-Finder	2	0.07412534777424484
IC-Finder	1	0.03084752870802326
IC-Finder	2	0.1207977106233647
IC-Finder	2	0.1218473226511766
IC-Finder	1	0.07618954004655773
IC-Finder	3	0.04666275943507968
IC-Finder	3	0.0644062330900188
IC-Finder	3	0.0428555192275773
IC-Finder	2	0.07789878612654172
IC-Finder	2	0.0750453044495546
IC-Finder	1	0.2869512892030897
IC-Finder	1	0.08292518184436774
IC-Finder	1	0.015970778370622545
IC-Finder	1	0.14211168679834046
IC-Finder	3	0.07513436148581917
IC-Finder	3	0.06836462476821666
IC-Finder	3	0.05382802029181929
IC-Finder	2	0.12923038409916907
IC-Finder	2	0.13066662145843494
IC-Finder	1	0.03526117781282769
IC-Finder	1	0.05220709155149633
IC-Finder	1	0.05103111286218066
IC-Finder	1	0.06412556564849936
IC-Finder	1	0.019719237495222103
IC-Finder	5	0.10229624147548841
IC-Finder	5	0.1369569746570366
IC-Finder	5	0.11332500333680841
IC-Finder	5	0.10544256229076486
IC-Finder	5	0.10724483339171309
IC-Finder	5	
IC-Finder	5	
IC-Finder	5	
IC-Finder	5	
IC-Finder	5	
IC-Finder	1	0.030404218978997054
IC-Finder	3	0.04127100064566344
IC-Finder	3	0.03614077798396219
IC-Finder	3	0.04368188667045278
IC-Finder	1	0.03644374944244938
IC-Finder	1	0.0231488073093004
IC-Finder	1	0.05871913814971124
IC-Finder	1	0.03631199512203465
IC-Finder	1	0.020938902255070252
IC-Finder	1	0.05586375087578759
IC-Finder	1	0.02229253815345448
