caller	freq	value
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	1	0.24446774758642167
MrTADFinder	4	0.24129029578364236
MrTADFinder	4	0.40720174935474623
MrTADFinder	4	0.2359929294680334
MrTADFinder	4	0.2438809766919548
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	3	0.859876694507815
MrTADFinder	3	0.5815179374437893
MrTADFinder	3	0.8622541004879061
MrTADFinder	3	
MrTADFinder	3	
MrTADFinder	3	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	2	0.037427692358486274
MrTADFinder	2	0.03567852045814318
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	4	
MrTADFinder	4	
MrTADFinder	4	
MrTADFinder	4	
MrTADFinder	2	
MrTADFinder	2	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	1	0.3247496015765949
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	1	0.6448052452412772
MrTADFinder	4	0.24045029235036755
MrTADFinder	4	0.3153871624745411
MrTADFinder	4	0.20380220806655697
MrTADFinder	4	0.2699900717043574
MrTADFinder	2	
MrTADFinder	2	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	5	
MrTADFinder	4	0.08704299885994317
MrTADFinder	4	0.1299873552194762
MrTADFinder	4	0.10533722327848073
MrTADFinder	4	0.08835146905975107
MrTADFinder	1	
