caller	freq	value
Arrowhead	3	14
Arrowhead	3	14
Arrowhead	3	14
Arrowhead	3	18
Arrowhead	3	18
Arrowhead	3	18
Arrowhead	2	21
Arrowhead	2	21
Arrowhead	1	16
Arrowhead	1	38
Arrowhead	1	14
Arrowhead	1	25
Arrowhead	4	21
Arrowhead	4	21
Arrowhead	4	21
Arrowhead	4	21
Arrowhead	1	28
Arrowhead	3	16
Arrowhead	3	16
Arrowhead	3	16
Arrowhead	1	21
Arrowhead	1	13
Arrowhead	1	23
Arrowhead	1	26
Arrowhead	3	29
Arrowhead	3	29
Arrowhead	3	29
Arrowhead	1	21
Arrowhead	1	25
Arrowhead	1	47
Arrowhead	3	31
Arrowhead	3	31
Arrowhead	3	31
Arrowhead	1	23
Arrowhead	1	18
Arrowhead	1	47
Arrowhead	1	32
Arrowhead	2	13
Arrowhead	2	13
Arrowhead	1	13
Arrowhead	2	29
Arrowhead	2	29
Arrowhead	1	47
Arrowhead	2	21
Arrowhead	2	21
Arrowhead	3	27
Arrowhead	3	27
Arrowhead	3	27
Arrowhead	1	29
Arrowhead	5	73
Arrowhead	5	73
Arrowhead	5	73
Arrowhead	5	73
Arrowhead	5	73
Arrowhead	4	22
Arrowhead	4	22
Arrowhead	4	22
Arrowhead	4	22
Arrowhead	2	30
Arrowhead	2	30
Arrowhead	2	31
Arrowhead	2	31
Arrowhead	1	23
Arrowhead	1	13
Arrowhead	1	13
Arrowhead	1	19
Arrowhead	2	19
Arrowhead	2	19
Arrowhead	1	18
Arrowhead	2	35
Arrowhead	2	35
Arrowhead	1	27
Arrowhead	2	16
Arrowhead	2	16
Arrowhead	1	21
Arrowhead	3	14
Arrowhead	3	14
Arrowhead	3	14
Arrowhead	4	21
Arrowhead	4	21
Arrowhead	4	21
Arrowhead	4	21
Arrowhead	1	78
Arrowhead	1	13
Arrowhead	3	21
Arrowhead	3	21
Arrowhead	3	21
Arrowhead	1	19
Arrowhead	2	62
Arrowhead	2	62
Arrowhead	1	32
Arrowhead	2	23
Arrowhead	2	23
Arrowhead	2	33
Arrowhead	2	33
Arrowhead	1	15
Arrowhead	1	18
Arrowhead	1	16
Arrowhead	1	31
Arrowhead	1	62
Arrowhead	4	16
Arrowhead	4	16
Arrowhead	4	16
Arrowhead	4	16
Arrowhead	1	20
Arrowhead	2	26
Arrowhead	2	26
Arrowhead	1	21
Arrowhead	1	21
Arrowhead	5	15
Arrowhead	5	15
Arrowhead	5	15
Arrowhead	5	15
Arrowhead	5	15
Arrowhead	1	13
Arrowhead	2	23
Arrowhead	2	23
Arrowhead	1	16
Arrowhead	1	18
Arrowhead	1	13
Arrowhead	2	21
Arrowhead	2	21
Arrowhead	1	65
Arrowhead	1	21
Arrowhead	1	16
Arrowhead	1	29
Arrowhead	1	14
Arrowhead	2	16
Arrowhead	2	16
Arrowhead	1	20
Arrowhead	1	20
Arrowhead	1	20
Arrowhead	1	13
Arrowhead	1	26
Arrowhead	3	23
Arrowhead	3	23
