caller	freq	value
CHDF	1	3
CHDF	2	3
CHDF	2	3
CHDF	2	3
CHDF	2	3
CHDF	1	2
CHDF	4	2
CHDF	4	2
CHDF	4	2
CHDF	4	2
CHDF	4	2
CHDF	4	2
CHDF	4	2
CHDF	4	2
CHDF	1	3
CHDF	1	2
CHDF	1	3
CHDF	1	10
CHDF	1	6
CHDF	1	5
CHDF	1	4
CHDF	1	4
CHDF	4	2
CHDF	4	2
CHDF	4	2
CHDF	4	2
CHDF	4	3
CHDF	4	3
CHDF	4	3
CHDF	4	3
CHDF	2	2
CHDF	2	2
CHDF	4	3
CHDF	4	3
CHDF	4	3
CHDF	4	3
CHDF	3	2
CHDF	3	2
CHDF	3	2
CHDF	5	11
CHDF	5	11
CHDF	5	11
CHDF	5	11
CHDF	5	11
CHDF	3	3
CHDF	3	3
CHDF	3	3
CHDF	1	6
CHDF	1	3
CHDF	3	2
CHDF	3	2
CHDF	3	2
CHDF	2	6
CHDF	2	6
CHDF	5	7
CHDF	5	7
CHDF	5	7
CHDF	5	7
CHDF	5	7
CHDF	4	2
CHDF	4	2
CHDF	4	2
CHDF	4	2
CHDF	4	2
CHDF	4	2
CHDF	4	2
CHDF	4	2
CHDF	5	3
CHDF	5	3
CHDF	5	3
CHDF	5	3
CHDF	5	3
CHDF	4	2
CHDF	4	2
CHDF	4	2
CHDF	4	2
CHDF	1	3
CHDF	1	2
CHDF	1	3
CHDF	1	3
CHDF	2	2
CHDF	2	2
CHDF	1	4
CHDF	1	2
CHDF	1	2
CHDF	1	5
CHDF	3	4
CHDF	3	4
CHDF	3	4
CHDF	1	7
CHDF	2	6
CHDF	2	6
CHDF	1	6
CHDF	1	5
CHDF	1	2
CHDF	1	2
CHDF	2	2
CHDF	2	2
CHDF	1	2
CHDF	2	2
CHDF	2	2
CHDF	2	2
CHDF	2	2
CHDF	1	5
CHDF	1	4
CHDF	3	2
CHDF	3	2
CHDF	3	2
CHDF	1	2
CHDF	2	6
CHDF	2	6
CHDF	1	22
CHDF	2	2
CHDF	2	2
CHDF	1	4
CHDF	4	4
CHDF	4	4
CHDF	4	4
CHDF	4	4
CHDF	1	3
CHDF	2	3
CHDF	2	3
CHDF	2	2
CHDF	2	2
CHDF	4	5
CHDF	4	5
CHDF	4	5
CHDF	4	5
CHDF	1	2
CHDF	3	1
CHDF	3	1
CHDF	3	1
CHDF	1	2
CHDF	5	3
CHDF	5	3
CHDF	5	3
CHDF	5	3
CHDF	5	3
CHDF	3	3
CHDF	3	3
CHDF	3	3
CHDF	1	5
CHDF	1	2
CHDF	2	2
CHDF	2	2
CHDF	1	2
CHDF	2	3
CHDF	2	3
CHDF	1	62
CHDF	1	2
CHDF	1	3
CHDF	1	5
CHDF	3	2
CHDF	3	2
CHDF	3	2
CHDF	1	4
CHDF	1	2
CHDF	1	3
CHDF	1	4
CHDF	2	3
CHDF	2	3
CHDF	2	2
CHDF	2	2
CHDF	1	6
CHDF	1	7
CHDF	2	2
CHDF	2	2
CHDF	5	4
CHDF	5	4
CHDF	5	4
CHDF	5	4
CHDF	5	4
CHDF	1	2
CHDF	1	3
CHDF	2	3
CHDF	2	3
CHDF	5	2
CHDF	5	2
CHDF	5	2
CHDF	5	2
CHDF	5	2
CHDF	1	3
