caller	freq	value
CaTCH	1	32
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	2	38
CaTCH	2	38
CaTCH	1	21
CaTCH	5	2
CaTCH	5	2
CaTCH	5	2
CaTCH	5	2
CaTCH	5	2
CaTCH	5	77
CaTCH	5	77
CaTCH	5	77
CaTCH	5	77
CaTCH	5	77
CaTCH	2	2
CaTCH	2	2
CaTCH	5	14
CaTCH	5	14
CaTCH	5	14
CaTCH	5	14
CaTCH	5	14
CaTCH	1	17
CaTCH	5	2
CaTCH	5	2
CaTCH	5	2
CaTCH	5	2
CaTCH	5	2
CaTCH	4	105
CaTCH	4	105
CaTCH	4	105
CaTCH	4	105
CaTCH	2	21
CaTCH	2	21
CaTCH	1	29
CaTCH	1	16
CaTCH	3	39
CaTCH	3	39
CaTCH	3	39
CaTCH	4	24
CaTCH	4	24
CaTCH	4	24
CaTCH	4	24
CaTCH	4	25
CaTCH	4	25
CaTCH	4	25
CaTCH	4	25
CaTCH	5	2
CaTCH	5	2
CaTCH	5	2
CaTCH	5	2
CaTCH	5	2
CaTCH	1	11
CaTCH	5	11
CaTCH	5	11
CaTCH	5	11
CaTCH	5	11
CaTCH	5	11
CaTCH	3	32
CaTCH	3	32
CaTCH	3	32
CaTCH	4	59
CaTCH	4	59
CaTCH	4	59
CaTCH	4	59
CaTCH	4	14
CaTCH	4	14
CaTCH	4	14
CaTCH	4	14
CaTCH	3	43
CaTCH	3	43
CaTCH	3	43
CaTCH	2	18
CaTCH	2	18
CaTCH	3	15
CaTCH	3	15
CaTCH	3	15
CaTCH	2	25
CaTCH	2	25
CaTCH	2	11
CaTCH	2	11
CaTCH	4	10
CaTCH	4	10
CaTCH	4	10
CaTCH	4	10
CaTCH	2	12
CaTCH	2	12
CaTCH	5	2
CaTCH	5	2
CaTCH	5	2
CaTCH	5	2
CaTCH	5	2
CaTCH	1	48
CaTCH	1	151
CaTCH	1	11
CaTCH	5	22
CaTCH	5	22
CaTCH	5	22
CaTCH	5	22
CaTCH	5	22
CaTCH	3	24
CaTCH	3	24
CaTCH	3	24
CaTCH	5	2
