caller	freq	value
HiCExplorer	1	25
HiCExplorer	3	6
HiCExplorer	3	6
HiCExplorer	3	6
HiCExplorer	4	55
HiCExplorer	4	55
HiCExplorer	4	55
HiCExplorer	4	55
HiCExplorer	1	23
HiCExplorer	1	47
HiCExplorer	2	8
HiCExplorer	2	8
HiCExplorer	1	27
HiCExplorer	1	21
HiCExplorer	1	39
HiCExplorer	1	14
HiCExplorer	5	6
HiCExplorer	5	6
HiCExplorer	5	6
HiCExplorer	5	6
HiCExplorer	5	6
HiCExplorer	1	10
HiCExplorer	2	14
HiCExplorer	2	14
HiCExplorer	1	12
HiCExplorer	2	7
HiCExplorer	2	7
HiCExplorer	3	8
HiCExplorer	3	8
HiCExplorer	3	8
HiCExplorer	1	13
HiCExplorer	1	96
HiCExplorer	2	17
HiCExplorer	2	17
HiCExplorer	4	7
HiCExplorer	4	7
HiCExplorer	4	7
HiCExplorer	4	7
HiCExplorer	4	12
HiCExplorer	4	12
HiCExplorer	4	12
HiCExplorer	4	12
HiCExplorer	5	8
HiCExplorer	5	8
HiCExplorer	5	8
HiCExplorer	5	8
HiCExplorer	5	8
HiCExplorer	1	16
HiCExplorer	5	7
HiCExplorer	5	7
HiCExplorer	5	7
HiCExplorer	5	7
HiCExplorer	5	7
HiCExplorer	1	13
HiCExplorer	1	7
HiCExplorer	1	7
HiCExplorer	1	11
HiCExplorer	5	8
HiCExplorer	5	8
HiCExplorer	5	8
HiCExplorer	5	8
HiCExplorer	5	8
HiCExplorer	1	23
HiCExplorer	4	13
HiCExplorer	4	13
HiCExplorer	4	13
HiCExplorer	4	13
HiCExplorer	2	16
HiCExplorer	2	16
HiCExplorer	5	18
HiCExplorer	5	18
HiCExplorer	5	18
HiCExplorer	5	18
HiCExplorer	5	18
HiCExplorer	3	21
HiCExplorer	3	21
HiCExplorer	3	21
HiCExplorer	1	16
HiCExplorer	2	6
HiCExplorer	2	6
HiCExplorer	1	14
HiCExplorer	1	73
HiCExplorer	5	6
HiCExplorer	5	6
HiCExplorer	5	6
HiCExplorer	5	6
HiCExplorer	5	6
HiCExplorer	1	12
HiCExplorer	1	9
HiCExplorer	1	32
HiCExplorer	2	7
HiCExplorer	2	7
HiCExplorer	1	24
HiCExplorer	5	8
HiCExplorer	5	8
HiCExplorer	5	8
HiCExplorer	5	8
HiCExplorer	5	8
HiCExplorer	3	10
HiCExplorer	3	10
HiCExplorer	3	10
HiCExplorer	1	7
HiCExplorer	5	11
HiCExplorer	5	11
HiCExplorer	5	11
HiCExplorer	5	11
HiCExplorer	5	11
HiCExplorer	5	10
HiCExplorer	5	10
HiCExplorer	5	10
HiCExplorer	5	10
HiCExplorer	5	10
