caller	freq	value
HiCseg	5	20
HiCseg	5	20
HiCseg	5	20
HiCseg	5	20
HiCseg	5	20
HiCseg	5	9
HiCseg	5	9
HiCseg	5	9
HiCseg	5	9
HiCseg	5	9
HiCseg	1	13
HiCseg	1	33
HiCseg	1	2
HiCseg	2	6
HiCseg	2	6
HiCseg	1	20
HiCseg	3	10
HiCseg	3	10
HiCseg	3	10
HiCseg	2	12
HiCseg	2	12
HiCseg	1	5
HiCseg	1	6
HiCseg	1	9
HiCseg	2	54
HiCseg	2	54
HiCseg	3	18
HiCseg	3	18
HiCseg	3	18
HiCseg	1	20
HiCseg	1	50
HiCseg	1	27
HiCseg	2	32
HiCseg	2	32
HiCseg	1	16
HiCseg	1	19
HiCseg	1	25
HiCseg	3	12
HiCseg	3	12
HiCseg	3	12
HiCseg	2	31
HiCseg	2	31
HiCseg	2	7
HiCseg	2	7
HiCseg	1	74
HiCseg	2	23
HiCseg	2	23
HiCseg	4	4
HiCseg	4	4
HiCseg	4	4
HiCseg	4	4
HiCseg	4	9
HiCseg	4	9
HiCseg	4	9
HiCseg	4	9
HiCseg	4	7
HiCseg	4	7
HiCseg	4	7
HiCseg	4	7
HiCseg	2	5
HiCseg	2	5
HiCseg	3	69
HiCseg	3	69
HiCseg	3	69
HiCseg	2	68
HiCseg	2	68
HiCseg	3	8
HiCseg	3	8
HiCseg	3	8
HiCseg	1	20
HiCseg	2	2
HiCseg	2	2
HiCseg	3	20
HiCseg	3	20
HiCseg	3	20
HiCseg	5	36
HiCseg	5	36
HiCseg	5	36
HiCseg	5	36
HiCseg	5	36
HiCseg	2	7
HiCseg	2	7
HiCseg	1	24
HiCseg	3	33
HiCseg	3	33
HiCseg	3	33
HiCseg	1	10
HiCseg	2	7
HiCseg	2	7
HiCseg	2	18
HiCseg	2	18
HiCseg	1	4
HiCseg	5	14
HiCseg	5	14
HiCseg	5	14
HiCseg	5	14
HiCseg	5	14
HiCseg	1	18
HiCseg	5	33
HiCseg	5	33
HiCseg	5	33
HiCseg	5	33
HiCseg	5	33
HiCseg	1	11
HiCseg	2	26
HiCseg	2	26
HiCseg	2	15
HiCseg	2	15
HiCseg	1	18
HiCseg	2	12
HiCseg	2	12
HiCseg	2	11
HiCseg	2	11
HiCseg	2	12
HiCseg	2	12
HiCseg	1	15
HiCseg	3	72
HiCseg	3	72
HiCseg	3	72
HiCseg	2	105
HiCseg	2	105
HiCseg	3	16
HiCseg	3	16
HiCseg	3	16
HiCseg	1	5
HiCseg	1	14
HiCseg	1	17
HiCseg	1	17
HiCseg	1	2
HiCseg	3	23
HiCseg	3	23
HiCseg	3	23
HiCseg	1	30
HiCseg	1	8
HiCseg	1	3
HiCseg	2	17
HiCseg	2	17
HiCseg	1	8
HiCseg	4	23
HiCseg	4	23
HiCseg	4	23
HiCseg	4	23
HiCseg	1	33
HiCseg	2	11
HiCseg	2	11
HiCseg	1	3
HiCseg	2	28
HiCseg	2	28
HiCseg	4	15
HiCseg	4	15
HiCseg	4	15
HiCseg	4	15
HiCseg	1	42
HiCseg	2	19
HiCseg	2	19
HiCseg	3	32
HiCseg	3	32
HiCseg	3	32
HiCseg	2	10
HiCseg	2	10
HiCseg	2	15
HiCseg	2	15
HiCseg	5	43
HiCseg	5	43
HiCseg	5	43
HiCseg	5	43
HiCseg	5	43
HiCseg	1	12
HiCseg	1	11
HiCseg	2	59
HiCseg	2	59
HiCseg	3	13
HiCseg	3	13
HiCseg	3	13
