caller	freq	value
MSTD	2	26
MSTD	2	26
MSTD	1	12
MSTD	1	29
MSTD	1	28
MSTD	1	15
MSTD	2	18
MSTD	2	18
MSTD	2	12
MSTD	2	12
MSTD	1	15
MSTD	2	22
MSTD	2	22
MSTD	3	19
MSTD	3	19
MSTD	3	19
MSTD	3	30
MSTD	3	30
MSTD	3	30
MSTD	1	27
MSTD	3	24
MSTD	3	24
MSTD	3	24
MSTD	5	20
MSTD	5	20
MSTD	5	20
MSTD	5	20
MSTD	5	20
MSTD	3	14
MSTD	3	14
MSTD	3	14
MSTD	1	16
MSTD	2	26
MSTD	2	26
MSTD	1	11
MSTD	3	11
MSTD	3	11
MSTD	3	11
MSTD	1	15
MSTD	2	17
MSTD	2	17
MSTD	2	22
MSTD	2	22
MSTD	1	29
MSTD	2	33
MSTD	2	33
MSTD	1	33
MSTD	4	18
MSTD	4	18
MSTD	4	18
MSTD	4	18
MSTD	5	20
MSTD	5	20
MSTD	5	20
MSTD	5	20
MSTD	5	20
MSTD	1	13
MSTD	1	16
MSTD	1	12
MSTD	3	20
MSTD	3	20
MSTD	3	20
MSTD	1	6
MSTD	1	30
MSTD	3	21
MSTD	3	21
MSTD	3	21
MSTD	2	18
MSTD	2	18
MSTD	1	27
MSTD	3	29
MSTD	3	29
MSTD	3	29
MSTD	2	32
MSTD	2	32
MSTD	1	20
MSTD	1	40
MSTD	2	38
MSTD	2	38
MSTD	2	19
MSTD	2	19
MSTD	1	28
MSTD	3	47
MSTD	3	47
MSTD	3	47
MSTD	1	22
MSTD	3	14
MSTD	3	14
MSTD	3	14
MSTD	3	13
MSTD	3	13
MSTD	3	13
MSTD	1	26
MSTD	4	23
MSTD	4	23
MSTD	4	23
MSTD	4	23
MSTD	2	14
MSTD	2	14
MSTD	4	17
MSTD	4	17
MSTD	4	17
MSTD	4	17
MSTD	3	15
MSTD	3	15
MSTD	3	15
MSTD	2	26
MSTD	2	26
MSTD	1	22
MSTD	1	29
MSTD	2	25
MSTD	2	25
MSTD	2	23
MSTD	2	23
MSTD	1	17
MSTD	1	39
MSTD	1	33
MSTD	1	10
MSTD	1	14
MSTD	2	37
MSTD	2	37
MSTD	2	27
MSTD	2	27
MSTD	1	17
MSTD	1	21
MSTD	2	17
MSTD	2	17
MSTD	1	29
MSTD	1	31
MSTD	1	36
MSTD	1	11
MSTD	1	49
MSTD	3	16
MSTD	3	16
MSTD	3	16
MSTD	1	29
MSTD	1	36
MSTD	2	16
MSTD	2	16
MSTD	3	14
MSTD	3	14
MSTD	3	14
MSTD	5	23
MSTD	5	23
MSTD	5	23
MSTD	5	23
MSTD	5	23
MSTD	3	14
MSTD	3	14
MSTD	3	14
MSTD	3	31
MSTD	3	31
MSTD	3	31
MSTD	1	20
MSTD	1	37
MSTD	1	34
MSTD	5	19
MSTD	5	19
MSTD	5	19
MSTD	5	19
MSTD	5	19
MSTD	1	18
MSTD	4	21
MSTD	4	21
MSTD	4	21
MSTD	4	21
MSTD	1	15
MSTD	1	15
MSTD	4	25
MSTD	4	25
MSTD	4	25
MSTD	4	25
MSTD	2	28
MSTD	2	28
MSTD	2	38
MSTD	2	38
MSTD	2	18
MSTD	2	18
MSTD	1	30
MSTD	1	21
MSTD	1	12
MSTD	5	19
MSTD	5	19
MSTD	5	19
MSTD	5	19
MSTD	5	19
MSTD	1	20
MSTD	1	37
MSTD	1	21
MSTD	3	29
MSTD	3	29
MSTD	3	29
MSTD	1	13
MSTD	1	24
MSTD	1	30
MSTD	5	13
MSTD	5	13
MSTD	5	13
MSTD	5	13
MSTD	5	13
MSTD	2	23
MSTD	2	23
MSTD	1	32
MSTD	5	23
MSTD	5	23
MSTD	5	23
MSTD	5	23
MSTD	5	23
MSTD	1	29
MSTD	1	14
MSTD	1	19
