caller	freq	value
Matryoshka	1	3
Matryoshka	1	2
Matryoshka	3	2
Matryoshka	3	2
Matryoshka	3	2
Matryoshka	2	16
Matryoshka	2	16
Matryoshka	2	4
Matryoshka	2	4
Matryoshka	2	10
Matryoshka	2	10
Matryoshka	1	13
Matryoshka	1	6
Matryoshka	5	2
Matryoshka	5	2
Matryoshka	5	2
Matryoshka	5	2
Matryoshka	5	2
Matryoshka	3	4
Matryoshka	3	4
Matryoshka	3	4
Matryoshka	5	9
Matryoshka	5	9
Matryoshka	5	9
Matryoshka	5	9
Matryoshka	5	9
Matryoshka	1	7
Matryoshka	5	5
Matryoshka	5	5
Matryoshka	5	5
Matryoshka	5	5
Matryoshka	5	5
Matryoshka	1	2
Matryoshka	1	2
Matryoshka	1	3
Matryoshka	1	7
Matryoshka	2	5
Matryoshka	2	5
Matryoshka	1	8
Matryoshka	1	7
Matryoshka	2	16
Matryoshka	2	16
Matryoshka	5	2
Matryoshka	5	2
Matryoshka	5	2
Matryoshka	5	2
Matryoshka	5	2
Matryoshka	2	5
Matryoshka	2	5
Matryoshka	4	3
Matryoshka	4	3
Matryoshka	4	3
Matryoshka	4	3
Matryoshka	1	3
Matryoshka	3	6
Matryoshka	3	6
Matryoshka	3	6
Matryoshka	1	8
Matryoshka	2	4
Matryoshka	2	4
Matryoshka	1	5
Matryoshka	5	31
Matryoshka	5	31
Matryoshka	5	31
Matryoshka	5	31
Matryoshka	5	31
Matryoshka	2	8
Matryoshka	2	8
Matryoshka	4	58
Matryoshka	4	58
Matryoshka	4	58
Matryoshka	4	58
Matryoshka	3	12
Matryoshka	3	12
Matryoshka	3	12
Matryoshka	1	1063
Matryoshka	1	40
Matryoshka	1	51
Matryoshka	1	4
Matryoshka	1	4
Matryoshka	5	10
Matryoshka	5	10
Matryoshka	5	10
Matryoshka	5	10
Matryoshka	5	10
Matryoshka	1	3
Matryoshka	1	2
Matryoshka	2	5
Matryoshka	2	5
Matryoshka	1	31
Matryoshka	1	3
Matryoshka	4	2
Matryoshka	4	2
Matryoshka	4	2
Matryoshka	4	2
Matryoshka	2	3
Matryoshka	2	3
Matryoshka	1	4
Matryoshka	2	3
Matryoshka	2	3
Matryoshka	5	3
Matryoshka	5	3
Matryoshka	5	3
Matryoshka	5	3
Matryoshka	5	3
Matryoshka	4	5
Matryoshka	4	5
Matryoshka	4	5
Matryoshka	4	5
Matryoshka	1	2
Matryoshka	3	2
Matryoshka	3	2
Matryoshka	3	2
Matryoshka	1	18
Matryoshka	4	3
Matryoshka	4	3
Matryoshka	4	3
Matryoshka	4	3
Matryoshka	4	2
Matryoshka	4	2
Matryoshka	4	2
Matryoshka	4	2
Matryoshka	1	19
Matryoshka	1	2
Matryoshka	1	2
Matryoshka	5	4
Matryoshka	5	4
Matryoshka	5	4
Matryoshka	5	4
Matryoshka	5	4
Matryoshka	1	6
Matryoshka	1	2
Matryoshka	1	14
Matryoshka	3	3
Matryoshka	3	3
Matryoshka	3	3
Matryoshka	2	3
Matryoshka	2	3
Matryoshka	1	3
Matryoshka	2	2
Matryoshka	2	2
Matryoshka	2	2
Matryoshka	2	2
Matryoshka	1	2
Matryoshka	4	10
Matryoshka	4	10
Matryoshka	4	10
Matryoshka	4	10
Matryoshka	1	2
Matryoshka	1	3
Matryoshka	5	2
Matryoshka	5	2
Matryoshka	5	2
Matryoshka	5	2
Matryoshka	5	2
Matryoshka	1	2
Matryoshka	4	2
Matryoshka	4	2
Matryoshka	4	2
Matryoshka	4	2
Matryoshka	1	2
Matryoshka	1	19
Matryoshka	1	7
Matryoshka	4	2
Matryoshka	4	2
Matryoshka	4	2
Matryoshka	4	2
Matryoshka	1	3
Matryoshka	5	3
Matryoshka	5	3
Matryoshka	5	3
Matryoshka	5	3
Matryoshka	5	3
Matryoshka	3	2
Matryoshka	3	2
Matryoshka	3	2
Matryoshka	2	2
Matryoshka	2	2
Matryoshka	4	32
Matryoshka	4	32
Matryoshka	4	32
Matryoshka	4	32
Matryoshka	2	2
Matryoshka	2	2
Matryoshka	2	3
Matryoshka	2	3
Matryoshka	1	2
Matryoshka	2	27
Matryoshka	2	27
Matryoshka	1	2
Matryoshka	3	2
Matryoshka	3	2
Matryoshka	3	2
Matryoshka	1	2
Matryoshka	1	3
Matryoshka	2	7
Matryoshka	2	7
Matryoshka	3	2
Matryoshka	3	2
Matryoshka	3	2
Matryoshka	2	2
Matryoshka	2	2
Matryoshka	4	4
Matryoshka	4	4
Matryoshka	4	4
Matryoshka	4	4
Matryoshka	1	2
