caller	freq	value
TADBD	4	11
TADBD	4	11
TADBD	4	11
TADBD	4	11
TADBD	1	13
TADBD	5	9
TADBD	5	9
TADBD	5	9
TADBD	5	9
TADBD	5	9
TADBD	1	19
TADBD	1	13
TADBD	2	8
TADBD	2	8
TADBD	5	8
TADBD	5	8
TADBD	5	8
TADBD	5	8
TADBD	5	8
TADBD	3	7
TADBD	3	7
TADBD	3	7
TADBD	1	11
TADBD	2	11
TADBD	2	11
TADBD	5	7
TADBD	5	7
TADBD	5	7
TADBD	5	7
TADBD	5	7
TADBD	1	5
TADBD	3	37
TADBD	3	37
TADBD	3	37
TADBD	4	3
TADBD	4	3
TADBD	4	3
TADBD	4	3
TADBD	5	13
TADBD	5	13
TADBD	5	13
TADBD	5	13
TADBD	5	13
TADBD	3	7
TADBD	3	7
TADBD	3	7
TADBD	1	9
TADBD	2	8
TADBD	2	8
TADBD	3	8
TADBD	3	8
TADBD	3	8
TADBD	2	4
TADBD	2	4
TADBD	4	10
TADBD	4	10
TADBD	4	10
TADBD	4	10
TADBD	5	6
TADBD	5	6
TADBD	5	6
TADBD	5	6
TADBD	5	6
TADBD	5	10
TADBD	5	10
TADBD	5	10
TADBD	5	10
TADBD	5	10
TADBD	3	8
TADBD	3	8
TADBD	3	8
TADBD	3	18
TADBD	3	18
TADBD	3	18
TADBD	2	46
TADBD	2	46
TADBD	1	3
TADBD	1	8
TADBD	3	21
TADBD	3	21
TADBD	3	21
TADBD	1	5
TADBD	3	9
TADBD	3	9
TADBD	3	9
TADBD	5	7
TADBD	5	7
TADBD	5	7
TADBD	5	7
TADBD	5	7
TADBD	1	4
TADBD	3	12
TADBD	3	12
TADBD	3	12
TADBD	1	3
TADBD	1	8
TADBD	1	13
TADBD	5	5
TADBD	5	5
TADBD	5	5
TADBD	5	5
TADBD	5	5
TADBD	4	11
TADBD	4	11
TADBD	4	11
TADBD	4	11
TADBD	5	6
TADBD	5	6
TADBD	5	6
TADBD	5	6
TADBD	5	6
TADBD	1	6
TADBD	3	4
TADBD	3	4
TADBD	3	4
TADBD	2	45
TADBD	2	45
TADBD	4	4
TADBD	4	4
TADBD	4	4
TADBD	4	4
