caller	freq	value
TADbit	3	15
TADbit	3	15
TADbit	3	15
TADbit	2	5
TADbit	2	5
TADbit	3	25
TADbit	3	25
TADbit	3	25
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	4	7
TADbit	4	7
TADbit	4	7
TADbit	4	7
TADbit	3	11
TADbit	3	11
TADbit	3	11
TADbit	5	13
TADbit	5	13
TADbit	5	13
TADbit	5	13
TADbit	5	13
TADbit	3	5
TADbit	3	5
TADbit	3	5
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	1	12
TADbit	3	6
TADbit	3	6
TADbit	3	6
TADbit	1	11
TADbit	1	6
TADbit	1	8
TADbit	4	6
TADbit	4	6
TADbit	4	6
TADbit	4	6
TADbit	2	11
TADbit	2	11
TADbit	1	5
TADbit	5	7
TADbit	5	7
TADbit	5	7
TADbit	5	7
TADbit	5	7
TADbit	1	40
TADbit	2	5
TADbit	2	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	1	13
TADbit	5	8
TADbit	5	8
TADbit	5	8
TADbit	5	8
TADbit	5	8
TADbit	5	20
TADbit	5	20
TADbit	5	20
TADbit	5	20
TADbit	5	20
TADbit	2	33
TADbit	2	33
TADbit	1	47
TADbit	3	18
TADbit	3	18
TADbit	3	18
TADbit	5	6
TADbit	5	6
TADbit	5	6
TADbit	5	6
TADbit	5	6
TADbit	1	20
TADbit	1	9
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	1	5
TADbit	5	32
TADbit	5	32
TADbit	5	32
TADbit	5	32
TADbit	5	32
TADbit	4	6
TADbit	4	6
TADbit	4	6
TADbit	4	6
TADbit	1	18
TADbit	1	7
TADbit	1	9
TADbit	2	7
TADbit	2	7
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	1	6
TADbit	1	9
TADbit	1	8
TADbit	3	10
TADbit	3	10
TADbit	3	10
TADbit	5	16
TADbit	5	16
TADbit	5	16
TADbit	5	16
TADbit	5	16
TADbit	5	6
TADbit	5	6
TADbit	5	6
TADbit	5	6
TADbit	5	6
TADbit	1	5
TADbit	5	12
TADbit	5	12
TADbit	5	12
TADbit	5	12
TADbit	5	12
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	4	17
TADbit	4	17
TADbit	4	17
TADbit	4	17
TADbit	2	20
TADbit	2	20
TADbit	5	9
TADbit	5	9
TADbit	5	9
TADbit	5	9
TADbit	5	9
TADbit	3	7
TADbit	3	7
TADbit	3	7
TADbit	1	10
TADbit	1	7
TADbit	1	16
TADbit	1	6
TADbit	1	32
TADbit	1	16
TADbit	2	14
TADbit	2	14
TADbit	1	21
TADbit	4	5
TADbit	4	5
TADbit	4	5
TADbit	4	5
TADbit	1	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	2	14
TADbit	2	14
TADbit	2	13
TADbit	2	13
TADbit	5	12
TADbit	5	12
TADbit	5	12
TADbit	5	12
TADbit	5	12
TADbit	5	7
TADbit	5	7
TADbit	5	7
TADbit	5	7
TADbit	5	7
TADbit	3	6
TADbit	3	6
TADbit	3	6
TADbit	3	5
TADbit	3	5
TADbit	3	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	3	11
TADbit	3	11
TADbit	3	11
TADbit	1	11
TADbit	5	12
TADbit	5	12
TADbit	5	12
TADbit	5	12
TADbit	5	12
TADbit	1	7
TADbit	1	40
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	2	5
TADbit	2	5
TADbit	5	6
TADbit	5	6
TADbit	5	6
TADbit	5	6
TADbit	5	6
TADbit	1	4
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	1	17
TADbit	5	46
TADbit	5	46
TADbit	5	46
TADbit	5	46
TADbit	5	46
TADbit	4	17
TADbit	4	17
TADbit	4	17
TADbit	4	17
TADbit	2	8
TADbit	2	8
TADbit	1	10
TADbit	3	18
TADbit	3	18
TADbit	3	18
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	1	10
TADbit	4	15
TADbit	4	15
TADbit	4	15
TADbit	4	15
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	10
TADbit	5	32
TADbit	5	32
TADbit	5	32
TADbit	5	32
TADbit	5	32
TADbit	5	16
TADbit	5	16
TADbit	5	16
TADbit	5	16
TADbit	5	16
TADbit	1	19
TADbit	2	64
TADbit	2	64
TADbit	3	9
TADbit	3	9
TADbit	3	9
TADbit	3	6
TADbit	3	6
TADbit	3	6
TADbit	1	6
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	5	5
TADbit	1	9
TADbit	1	9
