caller	freq	value
TopDom	1	6
TopDom	1	52
TopDom	1	8
TopDom	3	10
TopDom	3	10
TopDom	3	10
TopDom	5	11
TopDom	5	11
TopDom	5	11
TopDom	5	11
TopDom	5	11
TopDom	5	8
TopDom	5	8
TopDom	5	8
TopDom	5	8
TopDom	5	8
TopDom	3	5
TopDom	3	5
TopDom	3	5
TopDom	5	7
TopDom	5	7
TopDom	5	7
TopDom	5	7
TopDom	5	7
TopDom	3	9
TopDom	3	9
TopDom	3	9
TopDom	2	2
TopDom	2	2
TopDom	1	41
TopDom	3	6
TopDom	3	6
TopDom	3	6
TopDom	2	15
TopDom	2	15
TopDom	1	22
TopDom	1	6
TopDom	1	7
TopDom	4	21
TopDom	4	21
TopDom	4	21
TopDom	4	21
TopDom	1	13
TopDom	1	24
TopDom	5	6
TopDom	5	6
TopDom	5	6
TopDom	5	6
TopDom	5	6
TopDom	5	7
TopDom	5	7
TopDom	5	7
TopDom	5	7
TopDom	5	7
TopDom	3	13
TopDom	3	13
TopDom	3	13
TopDom	2	6
TopDom	2	6
TopDom	1	3
TopDom	1	10
TopDom	1	10
TopDom	2	47
TopDom	2	47
TopDom	5	10
TopDom	5	10
TopDom	5	10
TopDom	5	10
TopDom	5	10
TopDom	4	3
TopDom	4	3
TopDom	4	3
TopDom	4	3
TopDom	2	58
TopDom	2	58
TopDom	5	6
TopDom	5	6
TopDom	5	6
TopDom	5	6
TopDom	5	6
TopDom	5	6
TopDom	5	6
TopDom	5	6
TopDom	5	6
TopDom	5	6
TopDom	2	6
TopDom	2	6
TopDom	5	7
TopDom	5	7
TopDom	5	7
TopDom	5	7
TopDom	5	7
TopDom	5	4
TopDom	5	4
TopDom	5	4
TopDom	5	4
TopDom	5	4
TopDom	1	29
TopDom	2	6
TopDom	2	6
TopDom	2	18
TopDom	2	18
TopDom	1	9
TopDom	1	23
TopDom	2	9
TopDom	2	9
TopDom	1	13
TopDom	4	9
TopDom	4	9
TopDom	4	9
TopDom	4	9
TopDom	3	18
TopDom	3	18
TopDom	3	18
TopDom	5	26
TopDom	5	26
TopDom	5	26
TopDom	5	26
TopDom	5	26
TopDom	1	16
TopDom	2	23
TopDom	2	23
TopDom	5	8
TopDom	5	8
TopDom	5	8
TopDom	5	8
TopDom	5	8
TopDom	3	10
TopDom	3	10
