caller	freq	value
deDoc	5	4
deDoc	5	4
deDoc	5	4
deDoc	5	4
deDoc	5	4
deDoc	1	6
deDoc	1	22
deDoc	1	3
deDoc	1	7
deDoc	4	16
deDoc	4	16
deDoc	4	16
deDoc	4	16
deDoc	1	8
deDoc	1	8
deDoc	5	7
deDoc	5	7
deDoc	5	7
deDoc	5	7
deDoc	5	7
deDoc	1	5
deDoc	1	9
deDoc	1	57
deDoc	1	11
deDoc	2	4
deDoc	2	4
deDoc	4	9
deDoc	4	9
deDoc	4	9
deDoc	4	9
deDoc	1	16
deDoc	4	6
deDoc	4	6
deDoc	4	6
deDoc	4	6
deDoc	1	2
deDoc	1	4
deDoc	5	6
deDoc	5	6
deDoc	5	6
deDoc	5	6
deDoc	5	6
deDoc	1	13
deDoc	3	6
deDoc	3	6
deDoc	3	6
deDoc	3	10
deDoc	3	10
deDoc	3	10
deDoc	1	6
deDoc	2	28
deDoc	2	28
deDoc	1	16
deDoc	1	8
deDoc	2	2
deDoc	2	2
deDoc	1	4
deDoc	1	11
deDoc	2	6
deDoc	2	6
deDoc	1	4
deDoc	4	3
deDoc	4	3
deDoc	4	3
deDoc	4	3
deDoc	1	12
deDoc	1	9
deDoc	1	10
deDoc	1	18
deDoc	1	8
deDoc	1	3
deDoc	1	21
deDoc	4	9
deDoc	4	9
deDoc	4	9
deDoc	4	9
deDoc	1	24
deDoc	1	12
deDoc	1	15
deDoc	4	8
deDoc	4	8
deDoc	4	8
deDoc	4	8
deDoc	1	7
deDoc	4	8
deDoc	4	8
deDoc	4	8
deDoc	4	8
deDoc	3	7
deDoc	3	7
deDoc	3	7
deDoc	1	3
deDoc	2	3
deDoc	2	3
deDoc	1	15
deDoc	2	5
deDoc	2	5
deDoc	1	2
deDoc	3	10
deDoc	3	10
deDoc	3	10
deDoc	4	3
deDoc	4	3
deDoc	4	3
deDoc	4	3
deDoc	2	5
deDoc	2	5
deDoc	4	6
deDoc	4	6
deDoc	4	6
deDoc	4	6
deDoc	1	26
deDoc	2	7
deDoc	2	7
deDoc	2	7
deDoc	2	7
deDoc	2	11
deDoc	2	11
deDoc	2	5
deDoc	2	5
deDoc	3	6
deDoc	3	6
deDoc	3	6
deDoc	1	7
deDoc	1	5
deDoc	2	7
deDoc	2	7
deDoc	1	4
deDoc	1	4
deDoc	3	9
deDoc	3	9
deDoc	3	9
deDoc	1	55
deDoc	3	15
deDoc	3	15
deDoc	3	15
deDoc	1	3
deDoc	3	3
deDoc	3	3
deDoc	3	3
deDoc	3	7
deDoc	3	7
deDoc	3	7
deDoc	1	4
deDoc	1	13
deDoc	1	9
deDoc	2	5
deDoc	2	5
deDoc	2	6
deDoc	2	6
deDoc	3	14
deDoc	3	14
deDoc	3	14
deDoc	1	15
deDoc	5	7
deDoc	5	7
deDoc	5	7
deDoc	5	7
deDoc	5	7
deDoc	2	4
deDoc	2	4
deDoc	1	15
deDoc	2	5
deDoc	2	5
deDoc	4	3
deDoc	4	3
deDoc	4	3
deDoc	4	3
deDoc	1	9
deDoc	1	8
deDoc	4	4
deDoc	4	4
deDoc	4	4
deDoc	4	4
deDoc	2	17
deDoc	2	17
deDoc	1	11
deDoc	2	2
deDoc	2	2
deDoc	2	39
deDoc	2	39
deDoc	4	4
deDoc	4	4
deDoc	4	4
deDoc	4	4
deDoc	1	22
deDoc	1	4
deDoc	2	32
deDoc	2	32
deDoc	2	53
deDoc	2	53
deDoc	1	42
deDoc	2	173
deDoc	2	173
deDoc	1	71
deDoc	1	5
deDoc	1	11
deDoc	1	11
deDoc	5	9
deDoc	5	9
deDoc	5	9
deDoc	5	9
deDoc	5	9
deDoc	3	5
deDoc	3	5
deDoc	3	5
deDoc	1	10
deDoc	3	12
deDoc	3	12
deDoc	3	12
deDoc	1	4
deDoc	3	4
deDoc	3	4
deDoc	3	4
deDoc	2	2
deDoc	2	2
deDoc	2	3
deDoc	2	3
deDoc	5	3
deDoc	5	3
deDoc	5	3
deDoc	5	3
deDoc	5	3
deDoc	1	5
deDoc	1	11
deDoc	1	16
deDoc	1	15
deDoc	1	6
deDoc	2	5
deDoc	2	5
deDoc	4	7
deDoc	4	7
deDoc	4	7
deDoc	4	7
deDoc	4	5
deDoc	4	5
deDoc	4	5
deDoc	4	5
deDoc	1	5
deDoc	5	8
deDoc	5	8
deDoc	5	8
deDoc	5	8
deDoc	5	8
deDoc	2	4
deDoc	2	4
deDoc	1	24
deDoc	2	6
deDoc	2	6
deDoc	1	7
deDoc	5	3
deDoc	5	3
deDoc	5	3
deDoc	5	3
deDoc	5	3
deDoc	3	9
deDoc	3	9
deDoc	3	9
deDoc	1	11
deDoc	3	6
deDoc	3	6
deDoc	3	6
deDoc	3	7
deDoc	3	7
deDoc	3	7
deDoc	2	6
deDoc	2	6
deDoc	1	3
deDoc	2	15
deDoc	2	15
deDoc	1	3
deDoc	1	5
deDoc	1	15
deDoc	1	30
deDoc	3	44
deDoc	3	44
deDoc	3	44
deDoc	1	7
deDoc	1	7
deDoc	1	14
deDoc	5	4
deDoc	5	4
deDoc	5	4
deDoc	5	4
deDoc	5	4
deDoc	2	6
deDoc	2	6
deDoc	5	8
deDoc	5	8
deDoc	5	8
deDoc	5	8
deDoc	5	8
deDoc	1	2
deDoc	1	6
deDoc	1	5
deDoc	1	10
deDoc	1	10
deDoc	2	19
deDoc	2	19
deDoc	4	2
deDoc	4	2
deDoc	4	2
deDoc	4	2
deDoc	2	9
deDoc	2	9
deDoc	5	5
deDoc	5	5
deDoc	5	5
deDoc	5	5
deDoc	5	5
deDoc	1	2
deDoc	2	5
deDoc	2	5
deDoc	1	61
deDoc	1	4
deDoc	2	22
deDoc	2	22
deDoc	1	9
deDoc	4	7
deDoc	4	7
deDoc	4	7
deDoc	4	7
deDoc	1	8
deDoc	1	37
deDoc	5	2
deDoc	5	2
deDoc	5	2
deDoc	5	2
deDoc	5	2
deDoc	2	2
deDoc	2	2
deDoc	1	10
deDoc	2	4
deDoc	2	4
deDoc	4	5
deDoc	4	5
deDoc	4	5
deDoc	4	5
deDoc	1	14
deDoc	4	4
deDoc	4	4
deDoc	4	4
deDoc	4	4
deDoc	2	4
deDoc	2	4
deDoc	1	23
deDoc	3	46
