caller	freq	value
Armatus	3	71
Armatus	3	71
Armatus	3	71
Armatus	1	6
Armatus	1	2
Armatus	1	11
Armatus	1	17
Armatus	3	2
Armatus	3	2
Armatus	3	2
Armatus	1	2
Armatus	1	49
Armatus	1	2
Armatus	3	2
Armatus	3	2
Armatus	3	2
Armatus	1	10
Armatus	1	2
Armatus	1	22
Armatus	4	11
Armatus	4	11
Armatus	4	11
Armatus	4	11
Armatus	1	3
Armatus	3	7
Armatus	3	7
Armatus	3	7
Armatus	1	2
Armatus	1	3
Armatus	1	3
Armatus	2	2
Armatus	2	2
Armatus	1	3
Armatus	1	3
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	36
Armatus	2	5
Armatus	2	5
Armatus	1	2
Armatus	1	2
Armatus	1	3
Armatus	1	14
Armatus	1	2
Armatus	1	2
Armatus	1	55
Armatus	1	2
Armatus	1	2
Armatus	1	2
Armatus	1	3
Armatus	1	3
Armatus	1	3
Armatus	1	2
Armatus	1	2
Armatus	1	3
Armatus	1	5
Armatus	1	5
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	3	2
Armatus	3	2
Armatus	3	2
Armatus	2	7
Armatus	2	7
Armatus	1	2
Armatus	1	2
Armatus	1	5
Armatus	1	2
Armatus	1	3
Armatus	2	10
Armatus	2	10
Armatus	1	3
Armatus	1	2
Armatus	2	3
Armatus	2	3
Armatus	1	2
Armatus	1	2
Armatus	1	7
Armatus	3	6
Armatus	3	6
Armatus	3	6
Armatus	1	2
Armatus	3	3
Armatus	3	3
Armatus	3	3
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	1	3
Armatus	1	2
Armatus	4	4
Armatus	4	4
Armatus	4	4
Armatus	4	4
Armatus	1	8
Armatus	1	3
Armatus	2	2
Armatus	2	2
Armatus	2	2
Armatus	2	2
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	3	7
Armatus	3	7
Armatus	3	7
Armatus	3	2
Armatus	3	2
Armatus	3	2
Armatus	1	2
Armatus	2	94
Armatus	2	94
Armatus	2	51
Armatus	2	51
Armatus	2	4
Armatus	2	4
Armatus	4	9
Armatus	4	9
Armatus	4	9
Armatus	4	9
Armatus	2	6
Armatus	2	6
Armatus	1	3
Armatus	1	3
Armatus	1	14
Armatus	1	13
Armatus	1	4
Armatus	1	14
Armatus	1	2
Armatus	3	2
Armatus	3	2
Armatus	3	2
Armatus	1	6
Armatus	2	3
Armatus	2	3
Armatus	1	3
Armatus	1	21
Armatus	1	6
Armatus	4	33
Armatus	4	33
Armatus	4	33
Armatus	4	33
Armatus	1	3
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	4
Armatus	1	39
Armatus	2	3
Armatus	2	3
Armatus	4	6
Armatus	4	6
Armatus	4	6
Armatus	4	6
Armatus	1	3
Armatus	2	2
Armatus	2	2
Armatus	1	3
Armatus	1	2
Armatus	1	2
Armatus	1	2
Armatus	1	13
Armatus	1	3
Armatus	1	5
Armatus	1	2
Armatus	1	3
Armatus	4	8
Armatus	4	8
Armatus	4	8
Armatus	4	8
Armatus	1	7
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	2	14
Armatus	2	14
Armatus	1	4
Armatus	1	2
Armatus	1	2
Armatus	3	8
Armatus	3	8
Armatus	3	8
Armatus	1	2
Armatus	1	8
Armatus	2	2
Armatus	2	2
Armatus	2	16
Armatus	2	16
Armatus	1	2
Armatus	1	2
Armatus	1	4
Armatus	1	15
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	1	6
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	1	2
Armatus	1	3
Armatus	1	2
Armatus	1	4
Armatus	2	2
Armatus	2	2
Armatus	3	14
Armatus	3	14
Armatus	3	14
Armatus	3	211
Armatus	3	211
Armatus	3	211
Armatus	1	5
Armatus	1	3
Armatus	1	2
Armatus	1	6
Armatus	1	3
Armatus	1	2
Armatus	1	9
Armatus	4	32
Armatus	4	32
Armatus	4	32
Armatus	4	32
Armatus	1	2
Armatus	1	2
Armatus	3	7
Armatus	3	7
Armatus	3	7
Armatus	3	2
Armatus	3	2
Armatus	3	2
Armatus	2	11
Armatus	2	11
Armatus	1	3
Armatus	1	3
Armatus	1	3
Armatus	1	2
Armatus	1	6
Armatus	1	2
Armatus	1	3
Armatus	2	3
Armatus	2	3
Armatus	1	5
Armatus	2	5
Armatus	2	5
Armatus	1	11
Armatus	1	3
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	3	5
Armatus	3	5
Armatus	3	5
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	1	4
Armatus	1	2
Armatus	1	3
Armatus	2	2
Armatus	2	2
Armatus	1	5
Armatus	2	5
Armatus	2	5
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	6
Armatus	2	8
Armatus	2	8
Armatus	2	2
Armatus	2	2
Armatus	1	59
Armatus	4	3
Armatus	4	3
Armatus	4	3
Armatus	4	3
Armatus	1	4
Armatus	1	5
Armatus	1	2
Armatus	1	2
Armatus	1	2
Armatus	1	2
Armatus	1	2
Armatus	1	5
Armatus	3	2
Armatus	3	2
Armatus	3	2
Armatus	1	43
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	1	3
Armatus	1	8
Armatus	1	12
Armatus	1	2
Armatus	1	18
Armatus	1	3
Armatus	2	9
Armatus	2	9
Armatus	3	3
Armatus	3	3
Armatus	3	3
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	3
Armatus	1	4
Armatus	4	2
Armatus	4	2
Armatus	4	2
Armatus	4	2
Armatus	1	2
Armatus	4	6
Armatus	4	6
Armatus	4	6
Armatus	4	6
Armatus	2	4
Armatus	2	4
Armatus	4	5
Armatus	4	5
Armatus	4	5
Armatus	4	5
Armatus	1	2
Armatus	1	3
Armatus	1	2
Armatus	1	7
Armatus	1	2
Armatus	3	10
Armatus	3	10
Armatus	3	10
Armatus	1	4
Armatus	1	3
Armatus	1	2
Armatus	1	2
Armatus	1	12
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	6
Armatus	1	3
Armatus	1	3
Armatus	1	14
Armatus	1	2
Armatus	1	23
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	1	2
Armatus	1	3
Armatus	1	2
Armatus	1	2
Armatus	1	2
Armatus	1	6
Armatus	2	3
Armatus	2	3
Armatus	2	6
Armatus	2	6
Armatus	1	4
Armatus	1	3
Armatus	2	2
Armatus	2	2
Armatus	2	2
Armatus	2	2
Armatus	2	2
Armatus	2	2
Armatus	2	15
Armatus	2	15
Armatus	1	2
Armatus	1	4
Armatus	1	2
Armatus	1	3
Armatus	1	2
Armatus	1	3
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	1	17
Armatus	1	5
Armatus	1	21
Armatus	2	3
Armatus	2	3
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	5
Armatus	2	9
Armatus	2	9
Armatus	1	7
Armatus	1	2
Armatus	1	2
Armatus	1	3
Armatus	1	2
Armatus	4	27
Armatus	4	27
Armatus	4	27
Armatus	4	27
Armatus	2	5
Armatus	2	5
Armatus	1	30
Armatus	1	38
Armatus	1	2
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	2	4
Armatus	2	4
Armatus	2	30
Armatus	2	30
Armatus	1	3
Armatus	1	4
Armatus	2	11
Armatus	2	11
Armatus	1	3
Armatus	1	2
Armatus	1	2
Armatus	2	8
Armatus	2	8
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	4
Armatus	1	4
Armatus	2	2
Armatus	2	2
Armatus	2	3
Armatus	2	3
Armatus	1	22
Armatus	1	2
Armatus	2	6
Armatus	2	6
Armatus	1	2
Armatus	1	7
Armatus	1	4
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	1	3
Armatus	4	2
Armatus	4	2
Armatus	4	2
Armatus	4	2
Armatus	1	2
Armatus	1	4
Armatus	1	2
Armatus	1	2
Armatus	2	3
Armatus	2	3
Armatus	1	3
Armatus	1	3
Armatus	1	3
Armatus	1	3
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	2	3
Armatus	2	3
Armatus	1	3
Armatus	2	2
Armatus	2	2
Armatus	2	2
Armatus	2	2
Armatus	2	10
Armatus	2	10
Armatus	1	13
Armatus	1	4
Armatus	1	2
Armatus	3	46
Armatus	3	46
Armatus	3	46
Armatus	1	4
Armatus	4	6
Armatus	4	6
Armatus	4	6
Armatus	4	6
Armatus	1	2
Armatus	3	2
Armatus	3	2
Armatus	3	2
Armatus	3	2
Armatus	3	2
Armatus	3	2
Armatus	1	13
Armatus	1	5
Armatus	1	3
Armatus	1	8
Armatus	2	2
Armatus	2	2
Armatus	1	3
Armatus	1	2
Armatus	1	2
Armatus	1	2
Armatus	1	3
Armatus	1	13
Armatus	1	2
Armatus	2	14
Armatus	2	14
Armatus	1	2
Armatus	3	2
Armatus	3	2
Armatus	3	2
Armatus	2	2
Armatus	2	2
Armatus	2	71
Armatus	2	71
Armatus	1	2
Armatus	1	4
Armatus	1	4
Armatus	1	3
Armatus	2	2
Armatus	2	2
Armatus	1	8
Armatus	1	3
Armatus	1	26
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	2	8
Armatus	2	8
Armatus	1	3
Armatus	1	2
Armatus	1	8
Armatus	1	3
Armatus	1	2
Armatus	4	4
Armatus	4	4
Armatus	4	4
Armatus	4	4
Armatus	4	2
Armatus	4	2
Armatus	4	2
Armatus	4	2
Armatus	1	2
Armatus	1	2
Armatus	1	2
Armatus	1	2
Armatus	1	2
Armatus	1	2
Armatus	3	7
Armatus	3	7
Armatus	3	7
Armatus	1	5
Armatus	1	2
Armatus	1	2
Armatus	1	2
Armatus	3	3
Armatus	3	3
Armatus	3	3
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	4
Armatus	1	2
Armatus	1	2
Armatus	1	6
Armatus	1	5
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	2	3
Armatus	2	3
Armatus	1	3
Armatus	1	9
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	1	4
Armatus	2	2
Armatus	2	2
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	2	5
Armatus	2	5
Armatus	2	3
Armatus	2	3
Armatus	1	6
Armatus	1	2
Armatus	1	3
Armatus	1	2
Armatus	1	5
Armatus	1	2
Armatus	1	19
Armatus	2	4
Armatus	2	4
Armatus	1	2
Armatus	2	3
Armatus	2	3
Armatus	3	2
Armatus	3	2
Armatus	3	2
Armatus	1	10
Armatus	2	7
Armatus	2	7
Armatus	2	2
Armatus	2	2
Armatus	1	4
Armatus	1	16
Armatus	1	2
Armatus	1	2
Armatus	1	9
Armatus	1	2
Armatus	1	2
Armatus	1	13
Armatus	3	2
Armatus	3	2
Armatus	3	2
Armatus	1	9
Armatus	1	3
Armatus	2	2
Armatus	2	2
Armatus	1	5
Armatus	2	2
Armatus	2	2
Armatus	2	2
Armatus	2	2
Armatus	3	11
Armatus	3	11
Armatus	3	11
Armatus	2	3
Armatus	2	3
Armatus	1	59
Armatus	3	2
Armatus	3	2
Armatus	3	2
Armatus	2	2
Armatus	2	2
Armatus	2	5
Armatus	2	5
Armatus	1	2
Armatus	2	3
Armatus	2	3
Armatus	1	2
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	1	2
Armatus	2	5
Armatus	2	5
Armatus	1	2
Armatus	1	2
Armatus	1	2
Armatus	1	3
Armatus	2	5
Armatus	2	5
Armatus	2	2
Armatus	2	2
Armatus	2	3
Armatus	2	3
Armatus	1	2
Armatus	1	2
Armatus	2	27
Armatus	2	27
Armatus	1	3
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	1	2
Armatus	1	2
Armatus	1	5
Armatus	1	2
Armatus	2	4
Armatus	2	4
Armatus	1	2
Armatus	1	2
Armatus	1	7
Armatus	2	2
Armatus	2	2
Armatus	3	2
Armatus	3	2
Armatus	3	2
Armatus	4	3
Armatus	4	3
Armatus	4	3
Armatus	4	3
Armatus	2	2
Armatus	2	2
Armatus	1	12
Armatus	2	2
Armatus	2	2
Armatus	1	3
Armatus	1	2
Armatus	1	6
Armatus	4	2
Armatus	4	2
Armatus	4	2
Armatus	4	2
Armatus	1	3
Armatus	2	2
Armatus	2	2
Armatus	1	2
Armatus	1	12
Armatus	1	13
Armatus	1	2
Armatus	1	3
Armatus	2	2
