caller	freq	value
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	2	123
CaTCH	2	123
CaTCH	3	2
CaTCH	3	2
CaTCH	3	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	2	2
CaTCH	2	2
CaTCH	1	51
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	1	111
CaTCH	2	94
CaTCH	2	94
CaTCH	1	55
CaTCH	2	2
CaTCH	2	2
CaTCH	1	42
CaTCH	1	178
CaTCH	1	76
CaTCH	1	52
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	1	57
CaTCH	1	110
CaTCH	2	2
CaTCH	2	2
CaTCH	1	44
CaTCH	1	4
CaTCH	1	115
CaTCH	2	2
CaTCH	2	2
CaTCH	2	2
CaTCH	2	2
CaTCH	2	58
CaTCH	2	58
CaTCH	1	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	3	24
CaTCH	3	24
CaTCH	3	24
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	1	57
CaTCH	1	32
CaTCH	4	93
CaTCH	4	93
CaTCH	4	93
CaTCH	4	93
CaTCH	1	32
CaTCH	1	29
CaTCH	2	37
CaTCH	2	37
CaTCH	1	42
CaTCH	3	2
CaTCH	3	2
CaTCH	3	2
CaTCH	1	33
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	3	2
CaTCH	3	2
CaTCH	3	2
CaTCH	2	33
CaTCH	2	33
CaTCH	3	2
CaTCH	3	2
CaTCH	3	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	3	81
CaTCH	3	81
CaTCH	3	81
CaTCH	2	2
CaTCH	2	2
CaTCH	1	157
CaTCH	1	2
CaTCH	1	80
CaTCH	3	2
CaTCH	3	2
CaTCH	3	2
CaTCH	1	109
CaTCH	1	2
CaTCH	3	2
CaTCH	3	2
CaTCH	3	2
CaTCH	2	2
CaTCH	2	2
CaTCH	1	54
CaTCH	2	15
CaTCH	2	15
CaTCH	3	32
CaTCH	3	32
CaTCH	3	32
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	4	2
CaTCH	2	31
CaTCH	2	31
CaTCH	2	78
CaTCH	2	78
CaTCH	4	74
