caller	freq	value
InsulationScore	3	83
InsulationScore	3	83
InsulationScore	3	83
InsulationScore	2	25
InsulationScore	2	25
InsulationScore	1	27
InsulationScore	1	31
InsulationScore	1	23
InsulationScore	1	135
InsulationScore	1	122
InsulationScore	1	35
InsulationScore	1	31
InsulationScore	2	83
InsulationScore	2	83
InsulationScore	2	37
InsulationScore	2	37
InsulationScore	2	65
InsulationScore	2	65
InsulationScore	1	54
InsulationScore	4	51
InsulationScore	4	51
InsulationScore	4	51
InsulationScore	4	51
InsulationScore	1	25
InsulationScore	1	75
InsulationScore	1	45
InsulationScore	2	101
InsulationScore	2	101
InsulationScore	1	75
InsulationScore	1	42
InsulationScore	2	21
InsulationScore	2	21
InsulationScore	2	29
InsulationScore	2	29
InsulationScore	3	50
InsulationScore	3	50
InsulationScore	3	50
InsulationScore	1	35
InsulationScore	1	88
InsulationScore	1	44
InsulationScore	1	70
InsulationScore	3	31
InsulationScore	3	31
InsulationScore	3	31
InsulationScore	1	99
InsulationScore	1	72
InsulationScore	1	29
InsulationScore	2	29
InsulationScore	2	29
InsulationScore	1	28
InsulationScore	2	52
InsulationScore	2	52
InsulationScore	1	48
InsulationScore	1	66
InsulationScore	1	2
InsulationScore	1	62
InsulationScore	1	27
InsulationScore	2	89
InsulationScore	2	89
InsulationScore	1	79
InsulationScore	1	35
InsulationScore	2	20
InsulationScore	2	20
InsulationScore	1	59
InsulationScore	1	98
InsulationScore	1	18
InsulationScore	2	34
InsulationScore	2	34
InsulationScore	1	103
InsulationScore	2	93
InsulationScore	2	93
InsulationScore	3	81
InsulationScore	3	81
InsulationScore	3	81
InsulationScore	1	57
InsulationScore	1	104
InsulationScore	2	46
InsulationScore	2	46
InsulationScore	1	48
InsulationScore	2	49
InsulationScore	2	49
InsulationScore	1	69
InsulationScore	1	54
InsulationScore	1	35
InsulationScore	1	21
InsulationScore	2	64
InsulationScore	2	64
InsulationScore	2	55
InsulationScore	2	55
InsulationScore	3	59
InsulationScore	3	59
InsulationScore	3	59
InsulationScore	2	26
InsulationScore	2	26
