caller	freq	value
Matryoshka	1	2
Matryoshka	2	2
Matryoshka	2	2
Matryoshka	2	5
Matryoshka	2	5
Matryoshka	1	6
Matryoshka	3	6
Matryoshka	3	6
Matryoshka	3	6
Matryoshka	2	3
Matryoshka	2	3
Matryoshka	1	2
Matryoshka	2	11
Matryoshka	2	11
Matryoshka	2	2
Matryoshka	2	2
Matryoshka	1	2
Matryoshka	2	2
Matryoshka	2	2
Matryoshka	1	8
Matryoshka	3	5
Matryoshka	3	5
Matryoshka	3	5
Matryoshka	1	3
Matryoshka	1	2
Matryoshka	2	5
Matryoshka	2	5
Matryoshka	4	5
Matryoshka	4	5
Matryoshka	4	5
Matryoshka	4	5
Matryoshka	1	20
Matryoshka	2	5
Matryoshka	2	5
Matryoshka	1	5
Matryoshka	1	114
Matryoshka	2	4
Matryoshka	2	4
Matryoshka	1	6
Matryoshka	1	4
Matryoshka	1	2
Matryoshka	1	23
Matryoshka	2	6
Matryoshka	2	6
Matryoshka	1	2
Matryoshka	1	2
Matryoshka	1	2
Matryoshka	1	8
Matryoshka	1	4
Matryoshka	1	3
Matryoshka	1	2
Matryoshka	1	2
Matryoshka	2	2
Matryoshka	2	2
Matryoshka	3	37
Matryoshka	3	37
Matryoshka	3	37
Matryoshka	1	2
Matryoshka	1	2
Matryoshka	2	2
Matryoshka	2	2
Matryoshka	1	2
Matryoshka	4	20
Matryoshka	4	20
Matryoshka	4	20
Matryoshka	4	20
Matryoshka	1	17
Matryoshka	1	2
Matryoshka	1	3
Matryoshka	1	2
Matryoshka	3	3
Matryoshka	3	3
Matryoshka	3	3
Matryoshka	2	2
Matryoshka	2	2
Matryoshka	1	4
Matryoshka	1	2
Matryoshka	2	2
Matryoshka	2	2
Matryoshka	1	3
Matryoshka	1	2
Matryoshka	1	2
Matryoshka	1	2
Matryoshka	1	2
Matryoshka	1	6
Matryoshka	1	6
Matryoshka	2	12
Matryoshka	2	12
Matryoshka	3	28
Matryoshka	3	28
Matryoshka	3	28
Matryoshka	1	2
Matryoshka	2	20
Matryoshka	2	20
Matryoshka	3	5
Matryoshka	3	5
Matryoshka	3	5
Matryoshka	1	2
Matryoshka	1	2
Matryoshka	2	3
Matryoshka	2	3
Matryoshka	1	8
Matryoshka	1	14
Matryoshka	1	2
Matryoshka	1	8
Matryoshka	1	2
