caller	freq	value
TopDom	2	11
TopDom	2	11
TopDom	1	8
TopDom	2	3
TopDom	2	3
TopDom	1	7
TopDom	4	9
TopDom	4	9
TopDom	4	9
TopDom	4	9
TopDom	1	46
TopDom	1	9
TopDom	1	12
TopDom	1	3
TopDom	1	17
TopDom	2	11
TopDom	2	11
TopDom	3	6
TopDom	3	6
TopDom	3	6
TopDom	4	9
TopDom	4	9
TopDom	4	9
TopDom	4	9
TopDom	1	22
TopDom	1	15
TopDom	1	8
TopDom	3	25
TopDom	3	25
TopDom	3	25
TopDom	1	8
TopDom	3	16
TopDom	3	16
TopDom	3	16
TopDom	2	7
TopDom	2	7
TopDom	1	14
TopDom	1	7
TopDom	1	9
TopDom	1	25
TopDom	1	8
TopDom	1	31
TopDom	1	19
TopDom	2	8
TopDom	2	8
TopDom	2	5
TopDom	2	5
TopDom	1	27
TopDom	1	8
TopDom	3	9
TopDom	3	9
TopDom	3	9
TopDom	2	5
TopDom	2	5
TopDom	1	7
TopDom	1	8
TopDom	3	11
TopDom	3	11
TopDom	3	11
TopDom	4	7
TopDom	4	7
TopDom	4	7
TopDom	4	7
TopDom	2	9
TopDom	2	9
TopDom	1	8
TopDom	2	6
TopDom	2	6
TopDom	1	12
TopDom	1	14
TopDom	3	9
TopDom	3	9
TopDom	3	9
TopDom	1	5
TopDom	1	11
TopDom	1	7
TopDom	2	10
TopDom	2	10
TopDom	1	3
TopDom	1	11
TopDom	1	4
TopDom	1	10
TopDom	2	12
TopDom	2	12
TopDom	1	13
TopDom	1	3
TopDom	1	6
TopDom	1	8
TopDom	2	9
TopDom	2	9
TopDom	1	10
TopDom	1	6
TopDom	2	16
TopDom	2	16
TopDom	1	11
TopDom	1	7
TopDom	2	7
TopDom	2	7
TopDom	1	11
TopDom	1	9
TopDom	1	8
TopDom	4	5
TopDom	4	5
TopDom	4	5
TopDom	4	5
TopDom	1	11
TopDom	1	5
TopDom	1	12
TopDom	1	22
TopDom	1	7
TopDom	2	4
TopDom	2	4
TopDom	1	10
TopDom	1	11
TopDom	2	8
TopDom	2	8
TopDom	1	6
TopDom	1	7
TopDom	1	18
TopDom	2	15
TopDom	2	15
TopDom	1	6
TopDom	2	4
TopDom	2	4
TopDom	1	17
TopDom	2	12
TopDom	2	12
TopDom	1	7
TopDom	3	16
TopDom	3	16
TopDom	3	16
TopDom	2	21
TopDom	2	21
TopDom	1	8
TopDom	2	16
TopDom	2	16
TopDom	1	11
TopDom	1	10
TopDom	4	5
TopDom	4	5
TopDom	4	5
TopDom	4	5
TopDom	1	16
