caller	freq	value
deDoc	1	70
deDoc	1	42
deDoc	3	11
deDoc	3	11
deDoc	3	11
deDoc	2	7
deDoc	2	7
deDoc	1	11
deDoc	1	65
deDoc	1	4
deDoc	1	14
deDoc	1	5
deDoc	1	25
deDoc	1	6
deDoc	1	15
deDoc	1	10
deDoc	1	18
deDoc	3	9
deDoc	3	9
deDoc	3	9
deDoc	1	8
deDoc	2	14
deDoc	2	14
deDoc	1	55
deDoc	1	17
deDoc	1	9
deDoc	2	6
deDoc	2	6
deDoc	1	57
deDoc	1	38
deDoc	1	204
deDoc	2	3
deDoc	2	3
deDoc	1	6
deDoc	1	11
deDoc	1	12
deDoc	1	16
deDoc	1	1
deDoc	4	16
deDoc	4	16
deDoc	4	16
deDoc	4	16
deDoc	1	7
deDoc	1	18
deDoc	1	8
deDoc	1	9
deDoc	1	22
deDoc	2	18
deDoc	2	18
deDoc	1	8
deDoc	1	8
deDoc	1	4
deDoc	1	9
deDoc	1	11
deDoc	2	32
deDoc	2	32
deDoc	3	46
deDoc	3	46
deDoc	3	46
deDoc	2	100
deDoc	2	100
deDoc	1	22
deDoc	1	57
deDoc	1	26
deDoc	1	10
deDoc	1	13
deDoc	1	34
deDoc	1	12
deDoc	1	19
deDoc	1	16
deDoc	2	13
deDoc	2	13
deDoc	1	6
deDoc	1	57
deDoc	1	7
deDoc	1	120
deDoc	1	8
deDoc	1	12
deDoc	4	31
deDoc	4	31
deDoc	4	31
deDoc	4	31
deDoc	2	9
deDoc	2	9
deDoc	3	6
deDoc	3	6
deDoc	3	6
deDoc	1	9
deDoc	2	12
deDoc	2	12
deDoc	1	24
deDoc	1	1
deDoc	1	2
deDoc	1	15
deDoc	1	19
deDoc	1	17
deDoc	1	12
deDoc	1	17
deDoc	1	8
deDoc	1	29
deDoc	1	26
deDoc	2	11
deDoc	2	11
deDoc	1	10
deDoc	1	4
deDoc	1	5
deDoc	1	11
deDoc	1	8
deDoc	1	11
deDoc	2	9
deDoc	2	9
deDoc	1	23
deDoc	1	20
deDoc	1	12
deDoc	1	7
deDoc	1	8
deDoc	2	137
deDoc	2	137
deDoc	1	13
deDoc	2	11
deDoc	2	11
deDoc	1	14
deDoc	2	14
deDoc	2	14
deDoc	2	4
deDoc	2	4
deDoc	1	43
deDoc	1	37
deDoc	1	30
deDoc	3	22
deDoc	3	22
deDoc	3	22
deDoc	1	27
deDoc	1	44
deDoc	1	104
deDoc	1	16
deDoc	1	16
deDoc	1	7
deDoc	1	16
deDoc	1	20
deDoc	1	23
deDoc	1	14
deDoc	1	5
deDoc	2	10
deDoc	2	10
deDoc	1	5
deDoc	3	14
deDoc	3	14
deDoc	3	14
deDoc	2	12
deDoc	2	12
deDoc	1	13
deDoc	1	28
deDoc	1	8
deDoc	1	17
deDoc	1	16
deDoc	1	20
deDoc	1	14
deDoc	4	7
deDoc	4	7
deDoc	4	7
deDoc	4	7
deDoc	1	6
deDoc	2	10
deDoc	2	10
deDoc	1	15
deDoc	1	26
deDoc	2	16
deDoc	2	16
deDoc	1	13
deDoc	1	19
deDoc	1	6
deDoc	1	185
deDoc	1	19
deDoc	1	153
deDoc	1	16
deDoc	1	14
deDoc	1	8
deDoc	1	7
deDoc	1	8
deDoc	1	38
deDoc	1	62
deDoc	1	23
deDoc	1	16
deDoc	1	10
deDoc	1	13
deDoc	2	1
deDoc	2	1
deDoc	2	7
deDoc	2	7
deDoc	1	18
deDoc	2	11
deDoc	2	11
deDoc	1	88
deDoc	1	4
deDoc	2	10
deDoc	2	10
deDoc	1	9
deDoc	2	101
deDoc	2	101
deDoc	1	15
deDoc	1	6
deDoc	1	21
deDoc	1	12
deDoc	1	22
deDoc	1	9
deDoc	1	145
deDoc	1	9
